	A549_G1_1A_1	A549_G1_1A_2	A549_G1_1A_3	A549_G1_1B_1	A549_G1_1B_2	A549_G1_1B_3	A549_G1_1C_3	A549_G1_1D_1	A549_G1_1D_2	A549_G1_1D_3	A549_G1_1E_2	A549_G1_1E_3	A549_G1_1G_1	A549_G1_1G_2	A549_G1_1H_1	A549_G1_1H_2	A549_G1_2A_3	A549_G1_2B_3	A549_G1_2C_1	A549_G1_2C_3	A549_G1_2D_3	A549_G1_2E_3	A549_G1_2F_2	A549_G1_2F_3	A549_G2_2A_1	A549_G2_2A_2	A549_G2_2A_3	A549_G2_2B_1	A549_G2_2B_2	A549_G2_2B_3	A549_G2_2C_1	A549_G2_2C_2	A549_G2_2C_3	A549_G2_2D_2	A549_G2_2D_3	A549_G2_2E_1	A549_G2_2E_3	A549_G2_2F_1	A549_G2_2F_2	A549_G2_2F_3	A549_G2_2G_1	A549_G2_2G_2	A549_G2_2G_3	A549_G2_2H_1	A549_G2_2H_2	A549_G2_2H_3	A549_G2_3A_1	A549_G2_3A_2	A549_G2_3A_3	A549_G2_3D_2	A549_G2_3D_3	A549_G2_3E_2	A549_G2_3F_3	A549_G2_3G_3	A549_G2_3H_1	A549_G2_3H_3	A549_G2_4A_1	A549_G2_4A_2	A549Root1_1	A549Root1_2	A549Root1_3	A549Root2_1	A549Root2_2	A549Root2_3
A549_G1_1A_1	0	0.0213128386337311	0.0113728350948538	0.0196899146488687	0.0132317112230848	0.00680996506412049	0.039805610379042	0.00742168754598518	0.00876632431411098	0.0263655343305614	0.0103693911052839	0.00799994571545016	0.0102815789938922	0.0112405262920258	0.0159187779922067	0.00724809376739851	0.0148136933889856	0.0266238422719071	0.0118442427278929	0.0130848988443164	0.0483189400031791	0.0128088980087087	0.0197472093652334	0.0177753495850141	0.0251850038877803	0.0099006951107617	0.0126918108953633	0.0142016831288266	0.0143493571459501	0.00567540705247097	0.0141033669908724	0.0112631671485993	0.0271212085844012	0.00713671667083895	0.0419671686818827	0.00837212015990242	0.0300387526008611	0.0126752686864674	0.00831350211160489	0.0336025286026335	0.0111880195838689	0.0130658895473194	0.0211510273560189	0.0194544996413992	0.0104286591697755	0.00671650703527283	0.0291431618201947	0.0127208580419102	0.0143558213970334	0.00901587310412552	0.0169618287761368	0.00695915302245869	0.0266473528111895	0.0168533485877558	0.00931360148311141	0.021995618739683	0.0369877916733787	0.0121208426398781	0.00600831056201082	0.0108429059033243	0.00509478062586476	0.018268270036855	0.0189110807260339	0.00894424043395649
A549_G1_1A_2	0.0213128386337311	0	0.0319231567593868	0.00573728954656605	0.0336784237518266	0.0192210470554564	0.0385302555337993	0.0210860938111749	0.0129632311269763	0.0470575303766384	0.0120815743695865	0.0216791643058382	0.0115587256918484	0.0216272402058243	0.0127324890583277	0.0267602291358578	0.0326470745010486	0.0300369825519266	0.027958814697003	0.0312662664257129	0.0695353258793303	0.0236107843662093	0.00579156138072248	0.00559837224615282	0.0151843249669045	0.0131994733114408	0.0321642259469546	0.028641387246426	0.0119279596984516	0.0225558802141433	0.0101623246398396	0.0118910265237488	0.0380782507372818	0.0267944091825584	0.0601155549008933	0.0234788218488271	0.0473430560914433	0.028579040598626	0.0166325481559679	0.0519635533244676	0.0312211021985867	0.0119645068342491	0.0247150673120799	0.00401301574052313	0.029817633390894	0.0225455442759329	0.0111868234696321	0.0165251769819459	0.00776484699241208	0.0161907881012184	0.00911568568708968	0.0169752274353923	0.0155621755304747	0.0319223656682027	0.0153023363128988	0.0420610732128959	0.0161683999827577	0.00970301142529351	0.0171236026667368	0.0114026163080568	0.0188137917958177	0.00937376890720132	0.00559740023528045	0.01955688416477
A549_G1_1A_3	0.0113728350948538	0.0319231567593868	0	0.0292129955599028	0.0105492884249772	0.0151730154830328	0.0450216264287997	0.0128683489790495	0.0195707560031944	0.0172860435846309	0.0205563440151163	0.0140532926474099	0.0215011507959309	0.0184247320240338	0.0267424584253415	0.00548899121271182	0.0105614481541659	0.0314849366017666	0.0155500030734606	0.0106264686136599	0.0387612393051966	0.0175384087068125	0.0308261345233298	0.0280619666811147	0.0353165045219252	0.0201451294204536	0.00881538257862155	0.0142969525074523	0.0232630000554792	0.00986170508363374	0.0237557430348777	0.0225578139683574	0.0273609288478224	0.0102319902999125	0.0353514691841337	0.0122646379526675	0.0239876001563839	0.0112840311729694	0.0190263750656766	0.0276608147576716	0.00478520827749041	0.021690254240708	0.0267001713241416	0.0295623220140662	0.0114573027038161	0.0129502696082892	0.0385672788294297	0.0224684115834884	0.0253476237567915	0.0166906599281639	0.0281084271305874	0.0153438290865569	0.0366711537385374	0.0154134747717849	0.0189927209500434	0.0151045877341867	0.0478481645905653	0.0224913468438728	0.0152944104890839	0.0209825790068718	0.0141414371330258	0.0274085085448004	0.0285384847754136	0.0141667412732516
A549_G1_1B_1	0.0196899146488687	0.00573728954656605	0.0292129955599028	0	0.0326967811684081	0.0178680433796486	0.0399425250907868	0.0185170575915181	0.0121539099836292	0.0450665965057555	0.0102458036103565	0.0200685726753972	0.0116696009498684	0.0215183852594575	0.0154878303137173	0.0238964877128091	0.0304011582284458	0.0306531689761987	0.0278398175183864	0.0295108341949414	0.0676282349221297	0.0224639987198075	0.0102627970528343	0.00514712877656886	0.0188883052450883	0.0124080056910339	0.0304013899131623	0.0266299656571458	0.00878656163612923	0.0196811640622755	0.00878937748050636	0.0127786013082915	0.0375651360757556	0.0257547801843928	0.0589250597019963	0.0213954266696765	0.0456457924512795	0.0260240899426465	0.0170550933666866	0.050915502547579	0.0285195792488352	0.00841924893570326	0.0246715575261036	0.0029455730089456	0.0291076576756439	0.0212176345350878	0.0119466721252242	0.0176150343964304	0.00911763132145727	0.012651139918254	0.0124510529225814	0.0141795004125603	0.0191762287159054	0.0300977300528147	0.0144615257285032	0.0405451964024003	0.0201657193535449	0.00851320849607342	0.0150409762308192	0.00986298591057045	0.0166731229017724	0.00776190288067254	0.00169297133251058	0.0157968380537463
A549_G1_1B_2	0.0132317112230848	0.0336784237518266	0.0105492884249772	0.0326967811684081	0	0.0162563257613786	0.0421953077964339	0.016787918973467	0.0209279336776996	0.0154608794831176	0.0234100561745838	0.0153479994026373	0.0223489445276622	0.0163568709852948	0.0249326310561945	0.0130683250216303	0.0125589713939444	0.0289099260689519	0.0095809660147279	0.010252971863278	0.0363977169735757	0.0175186126248013	0.0308749867220743	0.030620799397253	0.0336079174176787	0.0214018911717948	0.00797756694797325	0.0158326644892546	0.0274106208600765	0.0153888310641587	0.0259826819022727	0.0227118683207307	0.0242482358770705	0.00731977879007104	0.0310054270199522	0.0147594598060654	0.0218812841766784	0.0150472119538977	0.0176585115319453	0.0225487937684914	0.0122968237225645	0.0256527628434716	0.0256696822604421	0.0323545863986614	0.00458449182231454	0.0132191075703868	0.0410821128982923	0.0205992914054927	0.0261259930064197	0.0217025185953463	0.0273303877618018	0.0194278442147284	0.0352699239786338	0.015744299153912	0.01992894732309	0.0108734848182743	0.0488246709236622	0.0245999261479412	0.0181299207615503	0.0232393440034299	0.0176460934692534	0.0300641789086228	0.0317653144320111	0.0203754073648724
A549_G1_1B_3	0.00680996506412049	0.0192210470554564	0.0151730154830328	0.0178680433796486	0.0162563257613786	0	0.0333267964662378	0.00450378055459289	0.00682136169916967	0.0281807405006959	0.0114225043646724	0.00277549089876986	0.0101124109922181	0.00591598272533229	0.0125622680080824	0.0117099184826355	0.0137004883103529	0.0203128443885048	0.0107268103462183	0.012056012751232	0.0513476428944831	0.00685909373304233	0.0169696956933981	0.0172823372991057	0.0202345672227057	0.00604168632897986	0.0130623196833158	0.0104747511878203	0.0157045375539325	0.00719686605596264	0.0100622814837235	0.0117107518963128	0.0224363370445937	0.00895441736688122	0.0412731582214253	0.00487266822364673	0.0285158114583039	0.01039352986246	0.00639390445554915	0.0331228849891887	0.0166498644690553	0.0103864272234834	0.0145065569840991	0.0181512735921221	0.0122499927943595	0.00341275819684824	0.0250643248352389	0.00802657914125726	0.0120245728416614	0.00881272120446696	0.0141649288113946	0.00609029289746166	0.0215273981242192	0.0135688254638386	0.0041650775068669	0.0230584664752691	0.0350581263297788	0.00974679761718131	0.00398098119327024	0.0081173477913939	0.00987355974987746	0.0139169504672781	0.0166226126833304	0.00902226411873786
A549_G1_1C_3	0.039805610379042	0.0385302555337993	0.0450216264287997	0.0399425250907868	0.0421953077964339	0.0333267964662378	0	0.0354399007158869	0.0358374320984077	0.0482558305929923	0.0411496092341838	0.0326269103241931	0.0381720467516695	0.0288007425168703	0.0311473058101845	0.0437882412229826	0.0361511710720671	0.013611393556191	0.0331988294062079	0.0352858625234672	0.069750041823995	0.0279906848495961	0.034644173935652	0.0417260964196072	0.0251877754231905	0.0335791923130747	0.0376923781173036	0.0312785307089354	0.0445966712493606	0.0394047393292973	0.0332167397796314	0.0390982702210385	0.0223730028678394	0.037614243710744	0.047286777703353	0.0338433857876506	0.0381657354374559	0.0347420185537339	0.0342096706115715	0.0426656896592182	0.0483227992347169	0.0365857854259181	0.01908484728259	0.0406933660189044	0.038314568842667	0.0337245198416208	0.0349782459729641	0.0292159411620939	0.0354127007769934	0.039519999911485	0.0334272003237894	0.0377904059060617	0.0247236041641068	0.0310572295302268	0.0323497437367004	0.0425557672566683	0.0464469400866689	0.0359772230770818	0.0362886190244462	0.0354682334141365	0.0428292913306518	0.0325300036958239	0.0383106445013841	0.0399233756488865
A549_G1_1D_1	0.00742168754598518	0.0210860938111749	0.0128683489790495	0.0185170575915181	0.016787918973467	0.00450378055459289	0.0354399007158869	0	0.00933492458835902	0.0269286086440539	0.012382924234661	0.0039489381017381	0.0126568870287595	0.00961507166711563	0.0165801819999233	0.00925422435655466	0.0119359621335748	0.0224187765737672	0.0132423435822954	0.0112958830141322	0.0501886544514561	0.00816314777255264	0.019902059997113	0.0185948480665995	0.0236906623730067	0.00877930813778879	0.0122822335389881	0.00925825471909818	0.0157602864556542	0.00409319775517803	0.0116039389110398	0.0145040712856689	0.0232351323319623	0.0100959803550236	0.0409156007034838	0.00340724336268656	0.0276198047127526	0.00784737617070419	0.0105437959919734	0.0330230741268217	0.0146684620378042	0.0102427342798872	0.0163651319233535	0.0193237881184796	0.0135591196305181	0.00526153909051392	0.0262186772848965	0.0123307652004636	0.0147105439216253	0.00732519604588651	0.0176412297614561	0.00511216050680805	0.0247748945891679	0.0126638500627506	0.00743294793544592	0.022498470713149	0.0372115353474449	0.0115047659413573	0.00462817467428884	0.00976519709916696	0.00982255421633989	0.0149540969214421	0.0174363121085076	0.00586754212188821
A549_G1_1D_2	0.00876632431411098	0.0129632311269763	0.0195707560031944	0.0121539099836292	0.0209279336776996	0.00682136169916967	0.0358374320984077	0.00933492458835902	0	0.0341304950261155	0.00567791409178307	0.00953980530498244	0.00368882332395958	0.0106436565277515	0.00909297450789225	0.014884923167772	0.020311435914474	0.0239619068834231	0.0158527160406651	0.0186785084852534	0.0566910111906523	0.0128640434779483	0.0112866553786796	0.0106579932240863	0.0176018832813076	0.00242668574396215	0.01932769773439	0.0171542446765321	0.0102064447942442	0.0106655146496188	0.00608429994282966	0.00571243411332343	0.0284170196093486	0.0139108549983894	0.0478469351381077	0.0113473464419213	0.0353067018339724	0.0167878007391182	0.00538103346157752	0.0395714107195654	0.0195288732248724	0.00694860932139195	0.0180546564647041	0.0118125599302162	0.0171047457020491	0.00990463306860015	0.0206967887946835	0.0079919326351418	0.00580532198554864	0.00723718440393492	0.00904095777621909	0.00595745359018136	0.0188869243308695	0.0203453046105071	0.00410267572712363	0.0291701414983733	0.0288093470453424	0.0037529376183502	0.00490454092368649	0.00286793526239284	0.00830387787231963	0.0103435193470772	0.0110764589967934	0.00987266335619612
A549_G1_1D_3	0.0263655343305614	0.0470575303766384	0.0172860435846309	0.0450665965057555	0.0154608794831176	0.0281807405006959	0.0482558305929923	0.0269286086440539	0.0341304950261155	0	0.0365993190155327	0.0261527174856734	0.0363082582664636	0.0281019838058916	0.0388090024546608	0.0225793596994223	0.0163496088540872	0.0359742092052864	0.0220124247462493	0.0168455649440215	0.0238628778128177	0.0268039742620816	0.0446686274782657	0.0439933126603159	0.0462390797943924	0.0341125574734675	0.0151794329127587	0.0219002931906555	0.0400015305913574	0.0256330340667111	0.0380663232409676	0.0371155497823319	0.0263268535383579	0.0207973253956317	0.0198912925348497	0.0244868338488263	0.0140078345043054	0.020975586059336	0.0316717662348482	0.0136617746686297	0.0204916871102886	0.0370570852942326	0.0339604849503074	0.0453900009623322	0.0187800966301099	0.024876278341045	0.0528121617484783	0.033666116455049	0.0397123228751576	0.0328486616559653	0.0413096327089374	0.0309205924166274	0.0476584080212994	0.01979551659364	0.0323124202182087	0.00645543053921885	0.0628407345973589	0.0374388484256475	0.0301479643461339	0.0358196150163034	0.0304538858901316	0.0415982384697242	0.0440983614119363	0.0302803651049968
A549_G1_1E_2	0.0103693911052839	0.0120815743695865	0.0205563440151163	0.0102458036103565	0.0234100561745838	0.0114225043646724	0.0411496092341838	0.012382924234661	0.00567791409178307	0.0365993190155327	0	0.0139266562035021	0.00448549911998213	0.0160759641565301	0.013085555295467	0.0152578486093487	0.0236851044455176	0.0295221542229607	0.0202311834454679	0.0223452629186089	0.0583873887230069	0.0179289709911858	0.0126025090481098	0.00759814375149531	0.0213322368102473	0.00775515293815302	0.0225537436324026	0.0213112593697234	0.00486441299453369	0.0121011788831135	0.00891109612402158	0.0058055323366281	0.0336982240969748	0.0170682769331148	0.0518180784672482	0.0151218743032623	0.0393077438083901	0.0201345203151908	0.0100628786666875	0.0435057254980794	0.0192941800768399	0.00753649541503436	0.0234644100477958	0.00952964987952441	0.0202941187678296	0.0141235574117433	0.0212005903291977	0.0134578323048015	0.00758205862869661	0.00679430676295929	0.011629347808734	0.00745334552495743	0.0224711721088015	0.0246081327422112	0.0095575794597535	0.0322603095269761	0.0274956852740329	0.00555873259795037	0.00802187647109437	0.00587475194446761	0.00682291244137637	0.0122202330434701	0.00994167030308784	0.0100294856885869
A549_G1_1E_3	0.00799994571545016	0.0216791643058382	0.0140532926474099	0.0200685726753972	0.0153479994026373	0.00277549089876986	0.0326269103241931	0.0039489381017381	0.00953980530498244	0.0261527174856734	0.0139266562035021	0	0.0128780625699007	0.00584079380061638	0.0148130302071075	0.0113726638934611	0.0111326844919339	0.0193393567054672	0.00992334814646799	0.00967038222314959	0.0495938777826412	0.00497930421429083	0.0194398176783111	0.019841520534274	0.0218277162153515	0.0085651557978847	0.0109995456683871	0.00770621241883012	0.0179915278383874	0.00708210716470852	0.0121055613792364	0.0144722178209932	0.0202695035067051	0.0083351550005066	0.0389011174250221	0.00246678221163688	0.0259139347231784	0.00779068425057211	0.0088148460085593	0.030873818465771	0.0162874533562504	0.0121827151586051	0.0136765956820624	0.0205832054979018	0.0114735466577927	0.00234735631779166	0.0267779474228437	0.00976437522169884	0.0146389683574475	0.0103368107887494	0.0166507318653309	0.00770546436352947	0.0230503274117435	0.0108339519822182	0.00653589479084701	0.0210419891648638	0.0375166845278979	0.0122351488630547	0.00604537969737205	0.0105481077478167	0.0116642947790666	0.0156086863606784	0.0187952425164287	0.00964218809362691
A549_G1_1G_1	0.0102815789938922	0.0115587256918484	0.0215011507959309	0.0116696009498684	0.0223489445276622	0.0101124109922181	0.0381720467516695	0.0126568870287595	0.00368882332395958	0.0363082582664636	0.00448549911998213	0.0128780625699007	0	0.0133888152671103	0.00887566625915641	0.0166803140317551	0.0233565998764439	0.0267010252595712	0.0178135827310062	0.0215374473399305	0.0582788635257905	0.0162683245090173	0.00999978751882763	0.00869154267883555	0.0179317004211917	0.00577518527716086	0.0218927755197068	0.0205728789128656	0.00892715264166086	0.0132385203010887	0.00810680562177912	0.00219215904917204	0.0315284391384694	0.0158137345431165	0.0504328899847581	0.0146579119202593	0.0382887479614248	0.0201013969523849	0.0065849483918979	0.0420298717329754	0.0207276518525804	0.0090168955901785	0.0210783429760309	0.0104723890313526	0.0187453564024859	0.0128429174409513	0.020912194993579	0.00975494363462982	0.00489617400698557	0.00936110090908525	0.00795054964885032	0.00873350588329009	0.0193020481153557	0.0236639190103068	0.00757169142207086	0.031408871324946	0.0267888102478068	0.00483198514853979	0.0080571851172397	0.00527266628523378	0.00864123068942319	0.0118776608772137	0.0109195323489685	0.0123625703894267
A549_G1_1G_2	0.0112405262920258	0.0216272402058243	0.0184247320240338	0.0215183852594575	0.0163568709852948	0.00591598272533229	0.0288007425168703	0.00961507166711563	0.0106436565277515	0.0281019838058916	0.0160759641565301	0.00584079380061638	0.0133888152671103	0	0.0117585973138812	0.0162675367603385	0.0142442732032235	0.0156377993529744	0.00788419180847661	0.0119543068141622	0.0512388594763069	0.00510654252495696	0.0179743707849289	0.0208922405718304	0.0182156128484449	0.0093175637239043	0.0134044833300305	0.0103870810065934	0.0206532728095797	0.012520900236243	0.0129867474902126	0.0144611670376766	0.0182740426135975	0.00981927958922587	0.0387135755133522	0.00795232047715361	0.026580178092906	0.0121225931384819	0.00750435646672477	0.0306095772282202	0.0205625416975642	0.0149035787389223	0.0108925628580608	0.021573444616095	0.0118361039442334	0.0057460072981738	0.0266290297508055	0.00607740597840727	0.0142660184471535	0.014550767483149	0.0146365662051789	0.0119092638398327	0.0196405516457238	0.0124683610331033	0.00723645920390421	0.0222216596896726	0.0364811308089256	0.0133623751068352	0.00972591465151101	0.0120715714499562	0.0150524750976185	0.0163221579327411	0.0200639485184837	0.0148309267754067
A549_G1_1H_1	0.0159187779922067	0.0127324890583277	0.0267424584253415	0.0154878303137173	0.0249326310561945	0.0125622680080824	0.0311473058101845	0.0165801819999233	0.00909297450789225	0.0388090024546608	0.013085555295467	0.0148130302071075	0.00887566625915641	0.0117585973138812	0	0.0228498408841017	0.0254364231685554	0.0210526810601291	0.0174446331595497	0.0231981166685659	0.0611621047306771	0.0156286725475438	0.00749609813325693	0.0137747698955958	0.0101572657512203	0.00857693413112499	0.0241584615312863	0.0214918167019925	0.0169724602732859	0.0188070479523281	0.0099555420622523	0.00881566550046632	0.0283313774180053	0.0184378429111682	0.0498739689789084	0.0172375380040189	0.038263067556413	0.0225300871893809	0.00783610516722326	0.0416613769827054	0.0270826009746688	0.0138107585257753	0.0167415075256089	0.0143387552085892	0.020597983037795	0.0149512247041473	0.0195838477564474	0.00569855314866038	0.00678896007693337	0.0161488985185211	0.00375169383321753	0.0147547365781755	0.0119083632602319	0.0240358270560014	0.00925521773208124	0.0330297265368213	0.025594709357204	0.00956368454558007	0.0131628938996128	0.00998627028287417	0.0165534641699576	0.0124135764219273	0.0141992080645364	0.0186754302769771
A549_G1_1H_2	0.00724809376739851	0.0267602291358578	0.00548899121271182	0.0238964877128091	0.0130683250216303	0.0117099184826355	0.0437882412229826	0.00925422435655466	0.014884923167772	0.0225793596994223	0.0152578486093487	0.0113726638934611	0.0166803140317551	0.0162675367603385	0.0228498408841017	0	0.012648102025363	0.0303633420076505	0.0154522215934828	0.0122825877867742	0.0441263699561317	0.0158168844524463	0.0261120948504329	0.0227143125119085	0.0315596054674181	0.0157139880323022	0.0112676862449849	0.0142293569740177	0.0177900111298281	0.00539340356381441	0.0190659381441653	0.0178667131015375	0.0284637839004246	0.00968543984399904	0.0399304125465789	0.00999897851927968	0.0278854433044309	0.0112082095595112	0.0153603943949542	0.032017015227241	0.00552231910941244	0.0166875910461695	0.0248818108994612	0.0242243287419831	0.0122996721772325	0.010565330506337	0.0337015175558312	0.0191785156478986	0.0205558003171519	0.0114715398458837	0.0237090377093868	0.0103979783112737	0.0328605736362145	0.016456904943293	0.0149587324199129	0.0196674094365485	0.0426403366140911	0.0175384203327122	0.0107204111397644	0.0161244200399899	0.00897919105435934	0.0227238249598132	0.0233114721115481	0.00925138189777124
A549_G1_2A_3	0.0148136933889856	0.0326470745010486	0.0105614481541659	0.0304011582284458	0.0125589713939444	0.0137004883103529	0.0361511710720671	0.0119359621335748	0.020311435914474	0.0163496088540872	0.0236851044455176	0.0111326844919339	0.0233565998764439	0.0142442732032235	0.0254364231685554	0.012648102025363	0	0.0229679749912436	0.0122230218643414	0.00323704641557548	0.0401687439538164	0.0113699005153849	0.0305605442030498	0.0303504943840278	0.0318871357272839	0.0196375691746845	0.00460659100876351	0.00581645967177156	0.0272090186207286	0.0123485260573006	0.0228863455729208	0.0247577777600045	0.0172052789371595	0.0106383630517921	0.0293565564814351	0.00917189541519961	0.0160344040951215	0.00483598799697114	0.0189287899367883	0.0218235117950038	0.0151547510917705	0.0220676430135615	0.0191967027386987	0.0311800072127062	0.0114232203391474	0.0108278623158475	0.0369937414563556	0.0199693519365668	0.0257082280323863	0.0188863125875946	0.0276449019973867	0.0168080028431884	0.0330473773131233	0.00521710348152057	0.0176666353679805	0.0121026276491189	0.0485922221246794	0.0230675640200932	0.0159991051588523	0.0213338555522531	0.0190978795885729	0.0259515239830043	0.029248598076459	0.0163810138314705
A549_G1_2B_3	0.0266238422719071	0.0300369825519266	0.0314849366017666	0.0306531689761987	0.0289099260689519	0.0203128443885048	0.013611393556191	0.0224187765737672	0.0239619068834231	0.0359742092052864	0.0295221542229607	0.0193393567054672	0.0267010252595712	0.0156377993529744	0.0210526810601291	0.0303633420076505	0.0229679749912436	0	0.0200053412054803	0.0218704053891646	0.0585421222526427	0.0145944509054748	0.0260209263147508	0.0318203850377939	0.0192773938194364	0.0217697526257353	0.0242537086485153	0.0180480620712204	0.0334208519540379	0.0262388754098602	0.0225613508500654	0.0277961270737349	0.0124072232308176	0.0241156469483023	0.0389835935726461	0.0204927600163779	0.0278933166823579	0.0215437846308515	0.0219478576587711	0.0328010240875858	0.0347725555555402	0.0254996152814179	0.00658531930350799	0.0313401847514201	0.0249670285910783	0.0203091283525012	0.0295820282243876	0.0174640458195436	0.0250348409190799	0.0273602841539827	0.0238605763141026	0.0252976511983966	0.0196688188463244	0.0180767068215157	0.0201230053979128	0.0300862972270985	0.041735940630935	0.0249092538324074	0.0236412126173168	0.0240213597948863	0.0300795492768488	0.0231900239173318	0.0289618113306093	0.0274262320296732
A549_G1_2C_1	0.0118442427278929	0.027958814697003	0.0155500030734606	0.0278398175183864	0.0095809660147279	0.0107268103462183	0.0331988294062079	0.0132423435822954	0.0158527160406651	0.0220124247462493	0.0202311834454679	0.00992334814646799	0.0178135827310062	0.00788419180847661	0.0174446331595497	0.0154522215934828	0.0122230218643414	0.0200053412054803	0	0.00901697736453534	0.044260900185344	0.0103058990959662	0.0242165347817608	0.0262962631874604	0.0249033872358611	0.0154959617945908	0.00924209950765104	0.0116349085341052	0.0249160523545404	0.0142548856706407	0.0199123821531471	0.0183372399674704	0.0182216413234294	0.00594368887736577	0.0332346742387506	0.0106494311242591	0.0225844772070445	0.0128448669767838	0.0115543186702825	0.0247521426499926	0.017888711365077	0.0210155259591957	0.0169767506118912	0.0275520775245271	0.00533370318655892	0.00805622533317031	0.0341989326618007	0.0125182958467554	0.0202220836890989	0.0188943726121216	0.020496330773008	0.0161434222524134	0.0265293103399168	0.0120964331139231	0.0136490416710347	0.0159015557982319	0.0427046356786987	0.019344543740043	0.0140956672872446	0.0180299411717475	0.0167777264448786	0.0236845093532814	0.0265773381571152	0.0184172722168563
A549_G1_2C_3	0.0130848988443164	0.0312662664257129	0.0106264686136599	0.0295108341949414	0.010252971863278	0.012056012751232	0.0352858625234672	0.0112958830141322	0.0186785084852534	0.0168455649440215	0.0223452629186089	0.00967038222314959	0.0215374473399305	0.0119543068141622	0.0231981166685659	0.0122825877867742	0.00323704641557548	0.0218704053891646	0.00901697736453534	0	0.0405757833409172	0.0100594367538896	0.0287674132028445	0.0290466228295581	0.0300128245546845	0.0180893658261872	0.00267213180262222	0.0059927968884838	0.0262364589368277	0.0118286218851304	0.0217618589483179	0.0227583517132631	0.0168072259983519	0.00792580967318267	0.029741620008775	0.00820420452218361	0.0170420798586177	0.00590479464172162	0.0166047545495102	0.0217558952655603	0.0148144833201934	0.0213834233946025	0.0181935627044108	0.0300184267672767	0.00846810813965191	0.00884120652388265	0.0362010260162848	0.01773524221469	0.0240125547144199	0.0183041437688067	0.0256188497200413	0.015943974010269	0.0313014624810311	0.00571696488544206	0.016070982691138	0.0117165331910084	0.0470570769075059	0.0217223302694837	0.0147661682694767	0.0200387384908838	0.0177901574840789	0.0251076717363839	0.0283210928662501	0.0162503935816855
