	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3E_3	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_2	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3B_3	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.00676284493666312	0.0128708587319049	0.00434523128276504	0.00455290149250981	0.00432322904163115	0.0511356435605745	0.0375493625157433	0.0534857909166407	0.0253889289965389	0.0268783691408144	0.0125589154611779	0.0269867862886439	0.00475040881114657	0.00386968717681462	0.0204136371115853	0.016419960879137	0.0212155867905314	0.016755571667801	0.0118270761361193	0.0115683740358516	0.0360289732593701	0.0130210765603451	0.00756569019510201	0.0178507757242091	0.0156807280726748	0.00648416346712621	0.012519754923121	0.0104741423361429	0.00751819934804443	0.00927150091283734	0.0144861155474388	0.00329365772280151	0.0196021169292524	0.00255192614889708	0.0111785342954374	0.0151777636590963	0.00714997094240651	0.0039846287194944	0.0273049901757264	0.00424600577311669	0.0151794907533818	0.00412828758030325	0.00498894311726062	0.0180365448584717	0.00632819569641378	0.0140961909829573	0.0141419181007527	0.0183982436532279	0.0050555331659193	0.00623676609627533	0.0189102663132796	0.00696524622304639	0.0101528837739302	0.00248551388887955	0.00902228900443345	0.0147324301820951	0.00812956287565637	0.011760063510709	0.0052549942881647	0.0109991127833997	0.00360777442982698	0.00876114965559084	0.0515098100499124	0.0180407422710048	0.0171990580925351	0.00769180372178602	0.0326535900955055	0.0306795088712095
HMEC_4_1_2	0.00676284493666312	0	0.00812434699593668	0.00977739098091011	0.00605336317542166	0.00268650895416211	0.0556823271557896	0.041911767309567	0.0562247465469889	0.0313951895870026	0.0263767963061931	0.0147739639017764	0.0254045840285206	0.00754208196088076	0.0099718311777215	0.0206629462995689	0.0230397407290412	0.0276002872963253	0.0203553040996497	0.0153531945919843	0.0135382327374971	0.0381906312771193	0.00953552567355419	0.00604327823252975	0.0132734670465984	0.0114361135621785	0.00990076376944861	0.00578293173994364	0.00866640187391778	0.0124000116122192	0.00313961185240189	0.01193791668985	0.0055145142467712	0.0130754456595288	0.00555968781982524	0.0152446765837737	0.018170381612377	0.00750482321249179	0.00892772436153383	0.0244942768136399	0.00412303773784436	0.00861304674730502	0.0107137734867451	0.0104457168072698	0.0113122537127887	0.0101276395164423	0.0175209900908017	0.00839234822645181	0.0170138243683159	0.00665239337478392	0.0069310321932851	0.017119549281576	0.00940493238832377	0.0106292096840843	0.00547333586717337	0.0104621430322707	0.0107350503254899	0.0133349082595126	0.00764388400683905	0.00690360109148287	0.00855647371220133	0.00995433555365417	0.0125809122568037	0.0570124846372844	0.0176162524998907	0.0142332458109425	0.0129841825480735	0.0360581155426396	0.031698564152037
HMEC_4_1_3	0.0128708587319049	0.00812434699593668	0	0.0134723874684617	0.0139776200097729	0.00898641623734041	0.0540550462510955	0.0403224816903662	0.0521885354832528	0.0331120077879164	0.0200037444201426	0.0130303289111335	0.0182216541605233	0.0153702333012719	0.0143295006009796	0.0154715504806365	0.0268629565038688	0.0304268944416799	0.0191671344636698	0.0150384968569448	0.0119021377018503	0.0339201880081719	0.0163718807909733	0.0140963770368903	0.0185312017524716	0.0173365831399144	0.0177518877054398	0.0080145214591884	0.0164248695531236	0.0198942421966676	0.00518565183558105	0.0190579268791475	0.0131389690767912	0.00888714192233868	0.0129093111508346	0.0156272162656141	0.0165727246959599	0.00777467753102502	0.0125360340408593	0.0166295853104136	0.0120102369215938	0.00603676735235589	0.0169300593833882	0.0175988608183377	0.0112246807515593	0.0178944369878022	0.0165906383406593	0.00262841496904105	0.0106157036015526	0.0090829065643863	0.00817526267801208	0.0103173460718279	0.010321456877406	0.00854489836880373	0.0105020531696747	0.00962121305785695	0.00282796843981972	0.0156391258508774	0.00146911028427506	0.00911436570876683	0.016096678955204	0.0146302719393555	0.0134553965569731	0.0570153884410876	0.01212612320402	0.00673173327297242	0.0154902121422379	0.0333612841140865	0.0264848704242919
HMEC_4_2_1	0.00434523128276504	0.00977739098091011	0.0134723874684617	0	0.00889527701318885	0.00709517951729279	0.0468385142513434	0.0332223325706338	0.0492378686960888	0.0216302631917376	0.0239052922946096	0.00889969249614869	0.024583159568348	0.00893506147770518	0.00123080298543188	0.0172673283159732	0.0136465514184799	0.0178926050808442	0.0124829980860207	0.0076711569498471	0.00812682363794859	0.0319336284892395	0.0172807992207543	0.0118790481175294	0.0219959846518599	0.0198672128345339	0.0102472639232034	0.0154388142502136	0.0148155044873732	0.0102871629598417	0.0113973661978292	0.0188246987772337	0.00763386850765832	0.0214465480401383	0.00688717708854356	0.00689773127879024	0.0110822148686852	0.0059827327067074	0.000954941213993566	0.0256294558182294	0.00842310975443546	0.0172499654362228	0.00542252559418244	0.00780983243797644	0.0209209628001715	0.00995293048905499	0.009902941780069	0.0153772346168493	0.0162439765447032	0.00439388802463111	0.00535481499918346	0.016965909671353	0.00424492087395357	0.00785637000040176	0.00431228257638048	0.00635193048803156	0.0145867454747363	0.00382078274069514	0.0121012004782399	0.00436046521105284	0.0153198884821372	0.00180047503748524	0.00467324280954087	0.0474708718336804	0.0153615397613483	0.01612160478931	0.00339977883386023	0.0283439500183967	0.0269792123063271
HMEC_4_2_2	0.00455290149250981	0.00605336317542166	0.0139776200097729	0.00889527701318885	0	0.00528151663202567	0.0556110264288587	0.0420646812603486	0.057984724998133	0.0294054934111173	0.0304825646494671	0.0168205393794601	0.030134414245599	0.00152615693145066	0.00831062197033377	0.0242292534124641	0.0198033522137834	0.0249178588740059	0.0212867250982277	0.0163219768086194	0.015744355450674	0.0404323764018953	0.00873385457288121	0.00323540510781842	0.0137457910860773	0.0115217045531455	0.00384832412852545	0.0107910690363964	0.00595944622073293	0.00651144789569483	0.00918965766186809	0.00997332782974488	0.00134553639155954	0.0188106823249981	0.00207466976521127	0.015719182650803	0.0196298279874419	0.0105046106146577	0.00850914418117824	0.0298293963772562	0.00196880968725181	0.0143881984955888	0.00653884561761983	0.00505173526190397	0.0159608036208689	0.0041002797908462	0.0185978262351596	0.0144444538525054	0.0215358465906815	0.00862917808797986	0.00961562170043847	0.0218688772053765	0.0110784860572292	0.0137911017015735	0.00589431800971104	0.0129412148541694	0.0163871906024214	0.0126543235909934	0.0132495169353034	0.00888820080131159	0.0065627389063082	0.00794161241087585	0.0132545711428023	0.0557112297352771	0.02157464480475	0.0195211703084808	0.0122108613075878	0.0371943956424283	0.0348091370465311
HMEC_4_2_3	0.00432322904163115	0.00268650895416211	0.00898641623734041	0.00709517951729279	0.00528151663202567	0	0.0532755510011971	0.0395322942968244	0.054308651183197	0.0287202731710165	0.0254704237427554	0.012778834652221	0.024927539280661	0.00651751890499762	0.00729582293220536	0.0194166410864058	0.020395725657601	0.024917752356708	0.0180765543561596	0.0130313421229535	0.0115826093456176	0.0364135963072097	0.0112675358728801	0.00668284911730857	0.0154802867546447	0.0135007838333522	0.00886920516164966	0.00842873450669657	0.00967404392828169	0.0109096830733382	0.00495212068952123	0.013378537849037	0.00423515019661488	0.0152794806897436	0.00393009631107994	0.0128057413461028	0.016021186031552	0.00573120961524326	0.00625837472400146	0.0245528490738206	0.00344672435137843	0.0108588585013716	0.00842304855753374	0.00865923393697485	0.0139529153347026	0.00896307721744822	0.0152542988980683	0.00994620576985591	0.0163552831150466	0.00436229811003727	0.00496460969027984	0.0166378199148755	0.00715134143171768	0.00904571551815241	0.00278719602010719	0.00854773657310022	0.0112137299860381	0.0106968640513501	0.00809475172273681	0.0046337233771534	0.00982327623158316	0.00730084257807836	0.010143396118434	0.0544125078525169	0.0165784034288086	0.0142450049241596	0.0103347766662446	0.0339095302000344	0.0302703376829007
HMEC_4_G2_3E_1	0.0511356435605745	0.0556823271557896	0.0540550462510955	0.0468385142513434	0.0556110264288587	0.0532755510011971	0	0.0138144680589603	0.017350917321585	0.0285861881991868	0.0401126041905164	0.0414172217858283	0.044391113137007	0.0553199117231213	0.0473125812396103	0.0400799230307931	0.0391753452696864	0.034021701896475	0.0354323338922097	0.0403554012618291	0.0426547883331202	0.0244802652317153	0.0640923081894237	0.0586900116595083	0.0686865926641599	0.0666195469172061	0.0558064747154052	0.0603556786596387	0.0615608027539202	0.0541631813498599	0.0558023486242912	0.0655665643897806	0.0544189867612058	0.0625667831452776	0.0536836220429453	0.0404816932074975	0.0378294693067973	0.0484724985704577	0.0474137515633023	0.0493884845325624	0.055243602422317	0.0600123222239156	0.0499992333945865	0.0526979609746529	0.0650205104935616	0.0553393333930162	0.038251145175556	0.0566741980381071	0.0454774213683212	0.0490381683756916	0.0488583122761192	0.0464518561762556	0.0462988709206819	0.0460224644080645	0.0507783047251637	0.0455846151869642	0.0525463799927105	0.043024799691866	0.0528087368030417	0.0487864756813616	0.0621179905509594	0.047685390164035	0.043143875377631	0.0115058165631713	0.043081796905274	0.0499184096807064	0.0434561995922711	0.0211115199880307	0.0324532044010922
HMEC_4_G2_3E_2	0.0375493625157433	0.041911767309567	0.0403224816903662	0.0332223325706338	0.0420646812603486	0.0395322942968244	0.0138144680589603	0	0.0201289745340976	0.0173064659724977	0.02788916368492	0.0276135192607253	0.032156423093614	0.0418625921319316	0.0337664477330663	0.0268177702307688	0.0270280051894767	0.0224372776404264	0.021624706416111	0.0265683288311748	0.0288498263130789	0.0145820049984679	0.0504512705877302	0.0450924358454305	0.0549785520108304	0.0529340103901596	0.0425114537859729	0.0465564802495436	0.0480097272025105	0.0410912553978648	0.0420006677349903	0.0520190382141868	0.0408404152586499	0.0489187015367697	0.0400981751315931	0.026737238993481	0.02402204544893	0.0346705527482858	0.0337557790302996	0.0370472057455444	0.0416021827773232	0.0462575009346233	0.0366963315623334	0.0394425707307937	0.0512438581998221	0.0420658911023901	0.0244475727835629	0.0429471582552838	0.0321165998390018	0.0352678927542096	0.035065528432581	0.0331429408385295	0.032516285505127	0.0322243906314815	0.0370760261700941	0.0317782615857553	0.0389053608174521	0.029424702666041	0.0390545361805997	0.0350135948177841	0.0485299974411266	0.0341692865853339	0.0293947866252873	0.0186007474446231	0.029652064807021	0.0364532766323816	0.0298646868504776	0.00837078794661542	0.0209447621244868
HMEC_4_G2_3E_3	0.0534857909166407	0.0562247465469889	0.0521885354832528	0.0492378686960888	0.057984724998133	0.054308651183197	0.017350917321585	0.0201289745340976	0	0.0372477979519477	0.0339025889432588	0.0415489946266584	0.0376852903743276	0.058153008313124	0.0500772775847262	0.0367590946755493	0.0461861783302293	0.0421158261687357	0.0367712440145826	0.041690806043411	0.0427547636632854	0.0182843235716717	0.0655484695274043	0.0606412794476895	0.0694174494601422	0.0676330887870337	0.0593035964545909	0.0596842792817974	0.0636795430174717	0.0584859658553196	0.055377903114801	0.0675689746973181	0.056662336380377	0.059562383250108	0.0559194941255225	0.0423508786958859	0.0384228996057841	0.0487445121369688	0.0495095408854972	0.0424533083048913	0.05705377479172	0.058144930864342	0.0536920165389645	0.056457065145257	0.0633521528627157	0.0589346519303565	0.0394172800773864	0.054618836299903	0.0419719961947694	0.049976482141771	0.0493966895149248	0.0426469610226466	0.0472294575109506	0.0456496701556002	0.0523456286146283	0.045815704413465	0.0499860817738389	0.0457503310338037	0.0512603635048813	0.049702450566416	0.0639987245608943	0.0505818567411778	0.0447547840813701	0.0288119989355558	0.04010486706198	0.0465203611003296	0.0462021146460585	0.0211265123732727	0.0261679464967663
HMEC_4_G2_3G_2	0.0253889289965389	0.0313951895870026	0.0331120077879164	0.0216302631917376	0.0294054934111173	0.0287202731710165	0.0285861881991868	0.0173064659724977	0.0372477979519477	0	0.0303187177252126	0.0207519675627517	0.0336825488522533	0.0287225666122976	0.0216134600374783	0.0255321025662077	0.0107484809524202	0.00544078530386632	0.0155491515347482	0.018218672240801	0.0216111497261336	0.0258051508063176	0.0381327589250021	0.0326380392665881	0.0431269508406571	0.0409151812394189	0.028638384639214	0.0369625490372495	0.0351687753019841	0.0265048066327864	0.0326667032332539	0.0390569149892796	0.0284415772146872	0.0419117798529542	0.0277833309243723	0.0174962236996562	0.0179258035271192	0.0256629524893525	0.022470250650345	0.0374616866215789	0.0296208351437379	0.0381627170458278	0.0230774785424122	0.0255190296714757	0.0423514157290971	0.0281241475949699	0.0172220429896552	0.0355532990738597	0.0291323243754957	0.0252445654084834	0.0256166569256981	0.0302736969493362	0.0230628054569935	0.0246921005958803	0.0259415327654251	0.0234951599139761	0.0328884304395954	0.0181454089295315	0.0316490571917091	0.0250670444617298	0.0358992010052749	0.0217901589893094	0.0197383716876657	0.0264977784620916	0.0267279501364762	0.0321247175260092	0.0184569876715115	0.0183922525763776	0.0271089442068361
HMEC_4_G2_3G_3	0.0268783691408144	0.0263767963061931	0.0200037444201426	0.0239052922946096	0.0304825646494671	0.0254704237427554	0.0401126041905164	0.02788916368492	0.0339025889432588	0.0303187177252126	0	0.015264151669743	0.00429312349145167	0.0313362507494589	0.0251206975118955	0.00668310269078468	0.030884785770897	0.031050084125793	0.0161026779938674	0.0176211253676484	0.0158162009442914	0.0163371382078605	0.0357569812024281	0.0320904279657291	0.0384730576100283	0.0371299513897127	0.0333378095760662	0.0280064462493083	0.0349628677853533	0.0340700741145861	0.0244204373694852	0.0382752570215437	0.0292033542999899	0.0260994736603214	0.0285942796016474	0.018943644984612	0.0149820622191249	0.0199913036646588	0.0235593742092879	0.00928287409587924	0.0288644315860836	0.0254806652370601	0.0293211197031492	0.0315186178657191	0.0305733308734264	0.0332002411071122	0.0164128706959667	0.0220363932288896	0.00947580858387539	0.0219570787046184	0.0208922812764122	0.00969160145781014	0.0200077310425144	0.0167630815888966	0.0247417969058648	0.0178814768928205	0.0173523777853766	0.0223254177262906	0.0195268371716893	0.0217196660893211	0.0349207894059017	0.0257006774902402	0.0196912571306702	0.0464484670115766	0.0089145131567456	0.0134784702715609	0.0226234327454358	0.0195389474051045	0.00794783807712327
HMEC_4_G2_4A_1	0.0125589154611779	0.0147739639017764	0.0130303289111335	0.00889969249614869	0.0168205393794601	0.012778834652221	0.0414172217858283	0.0276135192607253	0.0415489946266584	0.0207519675627517	0.015264151669743	0	0.016584493484906	0.0172938850567405	0.0100648749752948	0.00858320396536855	0.0171241480852708	0.019122664534633	0.00614692882157037	0.00290658060129913	0.00125186232588489	0.0236955184865915	0.0240418516292001	0.019225963366885	0.0280440367102484	0.026177834350459	0.0189521299609394	0.0189842953786033	0.0222759271882093	0.0191844125560214	0.0144395301431317	0.0261100030281467	0.0154753538020569	0.0218911203599144	0.0147605587447329	0.00416444174805032	0.00360090662395641	0.00727897988380446	0.00876145325926347	0.0187087424346764	0.0156519211030289	0.018777598476608	0.0142804445261652	0.0166997935018925	0.0236685418321158	0.0187152580642577	0.00362047250764512	0.0156368464736626	0.00926839088108847	0.00845461406640884	0.00787055822212823	0.0103072842078855	0.00576453086705051	0.00462240117155725	0.0109712723596436	0.00431486613104172	0.0122832455929215	0.00710163025234375	0.0116541839609358	0.00817966233323724	0.0225348560271213	0.0106496758754467	0.0044392564567922	0.0439981191762285	0.00747797904227472	0.011441052814168	0.00737582686889297	0.021321117061611	0.0181485414205752
HMEC_4_G2_4A_3	0.0269867862886439	0.0254045840285206	0.0182216541605233	0.024583159568348	0.030134414245599	0.024927539280661	0.044391113137007	0.032156423093614	0.0376852903743276	0.0336825488522533	0.00429312349145167	0.016584493484906	0	0.0311554593879392	0.0258130877503966	0.00851954667411799	0.0331760573420431	0.0339195360659243	0.0187770061275213	0.0192733550246327	0.0168327735963473	0.0204719679557222	0.0344682470086317	0.03134262978014	0.0366908878610764	0.035546610674307	0.0333106154287071	0.0261681002753366	0.0340620121550939	0.0344122780161946	0.0230676762123653	0.0370915192676483	0.0289279581514553	0.0231732130506095	0.0283905260103254	0.0206087018393339	0.0171826878687411	0.0198660797453876	0.024085849026613	0.00501053426603376	0.0283713563958373	0.023172441453212	0.0299041132411039	0.0318438004395658	0.0280711732072466	0.0332410801549859	0.0185067872177599	0.0199005727433673	0.00861963632960312	0.0219409678903162	0.0207852598725965	0.00830828308314925	0.0204365559219223	0.0169135896895384	0.0246695822814007	0.0182776613523818	0.0154202009351279	0.0236408316266715	0.0180450282450703	0.0217352349605634	0.0339020580281839	0.0263730614171349	0.0208246313136062	0.0506964857206631	0.00926206729631046	0.0114913493841063	0.0238737764351553	0.023816894420001	0.0120996471093881
HMEC_4_G2_4B_1	0.00475040881114657	0.00754208196088076	0.0153702333012719	0.00893506147770518	0.00152615693145066	0.00651751890499762	0.0553199117231213	0.0418625921319316	0.058153008313124	0.0287225666122976	0.0313362507494589	0.0172938850567405	0.0311554593879392	0	0.00816769910488052	0.024979930121933	0.0188715763198187	0.0240878880994312	0.0214156104074393	0.0165434854801342	0.0162774873561113	0.0407658161200881	0.00950716962716296	0.00420944330560265	0.0146008291251084	0.0123616222424336	0.00238351719365259	0.0122989457662483	0.00644865175354665	0.00499109352847833	0.0106692278648285	0.0103775015348661	0.00228662670132339	0.0203362857156876	0.00276789058679227	0.0158310025102844	0.0199128905779242	0.0113715668674878	0.00870587871162672	0.0310219659095443	0.00342262034773675	0.0159140546864667	0.00566157185273139	0.00373471253575062	0.0174182503088979	0.00258686900397569	0.0188025112658422	0.0159237443389186	0.0225431745548039	0.00938931787149423	0.0104607638971355	0.0229311284818038	0.0116338500211703	0.0145872387924117	0.00660302201137277	0.0136091249995807	0.0177127816227793	0.0125570921364886	0.0145817864082889	0.00963221126125212	0.00720333693030537	0.00771999037785365	0.0134857688604516	0.0551179281599972	0.0224428872640767	0.0207346452901094	0.012105219899263	0.0372582072557421	0.0353868642475719
HMEC_4_G2_4B_2	0.00386968717681462	0.0099718311777215	0.0143295006009796	0.00123080298543188	0.00831062197033377	0.00729582293220536	0.0473125812396103	0.0337664477330663	0.0500772775847262	0.0216134600374783	0.0251206975118955	0.0100648749752948	0.0258130877503966	0.00816769910488052	0	0.0184758493656146	0.0131418450193259	0.0176364945541248	0.0133463853397651	0.0086699321877132	0.00932849213706411	0.0328992583696585	0.0168868333019019	0.011414859537563	0.021713997311434	0.0195487559933524	0.00928456865859208	0.0157209287095215	0.0142689220796506	0.00913431585022807	0.011878265589802	0.0182830005494777	0.0071259648851024	0.0220702075117007	0.00640027878597408	0.0077897705384967	0.0120925245032642	0.00703302694526877	0.00191082166556508	0.0268332514915094	0.00810142376436776	0.0177960489861948	0.00422128682225038	0.00670074678752846	0.0212384267638474	0.00895624691245959	0.010857038825705	0.0161160185330586	0.017465512518154	0.00527323983959046	0.00633326956981298	0.0181780695787359	0.00545445572101825	0.00906671097804999	0.0045441863916137	0.00757549642088401	0.0155863690202393	0.00438974436319745	0.0129957677256891	0.00528758314302117	0.0148348854109451	0.000585092451859975	0.00575319741513259	0.0476577208358418	0.0165916549858611	0.0172573544650218	0.00393814638726042	0.0291179213589588	0.028092679642523
HMEC_4_G2_4B_3	0.0204136371115853	0.0206629462995689	0.0154715504806365	0.0172673283159732	0.0242292534124641	0.0194166410864058	0.0400799230307931	0.0268177702307688	0.0367590946755493	0.0255321025662077	0.00668310269078468	0.00858320396536855	0.00851954667411799	0.024979930121933	0.0184758493656146	0	0.0246861910279658	0.0254535013132769	0.0103070692553168	0.0110147487119405	0.00915294106665912	0.0184886973670886	0.0301826426238525	0.0260950103858145	0.0333855316114656	0.0318378090313117	0.0268934155658434	0.0231926359996585	0.0290560280206093	0.0274854058777492	0.01914585827931	0.0325758175570738	0.0229185400890991	0.0230449727481551	0.0222737814741975	0.0123483544725897	0.00867523035666508	0.0137597184437085	0.0169614118066774	0.0119364855755457	0.0227230022206559	0.0214090756799257	0.0226875431504819	0.0249464555224763	0.0266241370710307	0.0267265799728844	0.0100291411634905	0.017877543669867	0.00544530069231153	0.0156149772175844	0.0146269552716061	0.00637767289537274	0.0134744434986011	0.0104454632194525	0.0183901763929492	0.0113958450616866	0.0132514994783791	0.0156588098990679	0.0146347938177331	0.0153633894455802	0.0291119327404122	0.0190580696583919	0.0130097912503303	0.0448561833044203	0.00334947177271773	0.0100069863843814	0.0159500132584846	0.0189771268790243	0.0111342279983974
