	HT29_G1_1B_1	HT29_G1_1B_2	HT29_G1_2A_1	HT29_G1_2A_2	HT29_G1_3E_1	HT29_G1_3E_2	HT29_G1_3F_1	HT29_G1_3F_2	HT29_G1_4A_2	HT29_G1_4A_3	HT29_G1_4B_1	HT29_G1_4B_2	HT29_G1_4B_3	HT29_G1_4C_1	HT29_G1_4C_2	HT29_G1_4F_1	HT29_G1_4F_3	HT29_G1_5A_1	HT29_G1_5A_2	HT29_G1_5B_1	HT29_G1_5B_2	HT29_G1_5C_1	HT29_G1_5C_2	HT29_G1_5D_1	HT29_G1_5D_2	HT29_G1_5E_1	HT29_G1_5E_2	HT29_G1_5F_1	HT29_G1_5F_2	HT29_G1_5F_3	HT29_G2_4G_1	HT29_G2_4G_2	HT29_G2_4G_3	HT29_G2_4H_1	HT29_G2_4H_2	HT29_G2_5A_1	HT29_G2_5B_2	HT29_G2_5E_1	HT29_G2_5E_2	HT29_G2_5F_1	HT29_G2_5F_2	HT29_G2_5G_1	HT29_G2_5G_2	HT29_G2_5H_1	HT29_G2_5H_2	HT29_G2_6A_1	HT29_G2_6A_2	HT29_G2_6A_3	HT29_G2_6B_1	HT29_G2_6C_2	HT29_G2_6D_1	HT29_G2_6D_2	HT29_G2_6E_1	HT29_G2_6E_2	HT29_G2_6F_1	HT29_G2_6G_1	HT29_G2_6G_2	HT29Root1_1	HT29Root1_2	HT29Root1_3	HT29Root2_1	HT29Root2_2
HT29_G1_1B_1	0	0.0243504166378646	0.0181108396902387	0.0186454879963514	0.0322188617524325	0.026953991267339	0.0148969874077291	0.0115209744088596	0.0348028305196853	0.0142016930495642	0.0674689824043172	0.0696704562199783	0.0359805083872196	0.02957213849528	0.0660767714213746	0.0741504645986745	0.03784566078611	0.0704657328476416	0.0468890305706979	0.183293347446644	0.24307790612176	0.0162622685956113	0.0178445054639546	0.0453946230568628	0.0217917800734513	0.0615898411786926	0.0369223858196169	0.027380768019518	0.0445447852164964	0.0142565373692239	0.0507340825097032	0.063907981811946	0.0381374934272894	0.0329164923055369	0.0288420959765034	0.010522565847847	0.0248051133639661	0.0275047798275607	0.0234122695889615	0.0186070514801454	0.0127795291828731	0.0433321630759273	0.0206967538646311	0.0792092902216274	0.0605482832600588	0.0463351358905274	0.0263638366682976	0.0943594949977279	0.0775986481785415	0.0366077557024576	0.0424805852250401	0.0156447059074191	0.0299814466170977	0.0372635591876737	0.0425142576512989	0.0395229361438924	0.0246851305102644	0.0684022585872511	0.0702534266751393	0.040598474013232	0.0543891594751247	0.0383899468379153
HT29_G1_1B_2	0.0243504166378646	0	0.016529958961753	0.0366801678109429	0.0110352650831208	0.0111293637913791	0.0301010646045523	0.0175680188636702	0.0131761026289209	0.0119624506962479	0.0438451357940439	0.0481115735117597	0.013950837617665	0.0105501724797851	0.0423060759027731	0.0506742132187476	0.0162638873026278	0.0471903585950477	0.0227732494765669	0.161769812603586	0.221041164393245	0.0188083958031761	0.0332805381856718	0.0225840116685015	0.00498999897581287	0.0378295988412314	0.0170420966513979	0.0107786193314806	0.0242851054862791	0.0104882447291112	0.0292026361874564	0.040215978323812	0.0164621971494944	0.011610418270368	0.0105147300460704	0.0247299397772918	0.0212292369837562	0.0437881354841285	0.00367004930483095	0.0131710582619142	0.0162149571979883	0.0237948441923614	0.0303555068671543	0.0581049084572958	0.0365529249629241	0.0242669395096049	0.0135664350376118	0.0722309895623228	0.0554297713793873	0.0144674973814463	0.0186887354057909	0.0138006002032477	0.014932020016898	0.0131851013056897	0.0183633488993052	0.0195048392394743	0.0194857118069973	0.0461253853506319	0.0488140586930897	0.0173302175663233	0.0328516231047313	0.0156212571199711
HT29_G1_2A_1	0.0181108396902387	0.016529958961753	0	0.0248337330389887	0.0211352645425075	0.0156626771477151	0.0156691964034936	0.012809163193283	0.0296597443867786	0.0136282790919284	0.0577690089741444	0.0634851812845251	0.0293784631503872	0.0244728798034822	0.0565037526629667	0.0655086383744539	0.0313319426983856	0.0621946937233587	0.0372548884311778	0.177158109771901	0.235510761683171	0.00566795094984193	0.0191234030705737	0.0385994466101062	0.0126970461979821	0.0524354690404205	0.0311926301391766	0.0164799315314302	0.0391930502745504	0.0133995144539291	0.0453582855087647	0.0549685418804262	0.0309358466938756	0.0263535000073183	0.0158626012806977	0.0130016677964585	0.00788741556504407	0.0282298909878122	0.0176740145336367	0.00426182663854291	0.00747520489109071	0.0380740549796722	0.0140259464588803	0.0741398128776595	0.0502184500277045	0.0404454595673796	0.0235446081988721	0.0877264120678035	0.0708020497897947	0.0308792315774726	0.0339483334550311	0.00867471721433661	0.0201594419262808	0.0280310895145727	0.0326557560130618	0.0329485156936419	0.0109780608845	0.0619649086255479	0.0646558138460121	0.0325680560318047	0.0486782993968821	0.0305479464209735
HT29_G1_2A_2	0.0186454879963514	0.0366801678109429	0.0248337330389887	0	0.0402463017161661	0.0333891873151047	0.0113992196183162	0.0195949995303746	0.0479248064550954	0.025833186353216	0.0772944337743582	0.0803219620173573	0.0470850073610226	0.0401392057700519	0.0765598540912061	0.0860645515024791	0.0484481526307856	0.083190914055283	0.0581731718904999	0.195544656727202	0.254415334845955	0.0200765896411428	0.00784997366465191	0.0581688285347941	0.0323145120298831	0.0728075392234199	0.0466511074413787	0.0341365866793312	0.0546674203045847	0.0292279228144973	0.0630973883789805	0.0756576378358548	0.0480885693649674	0.0434918464235303	0.0359264956700266	0.0125931417992973	0.0265314412154548	0.0150145259976726	0.0355259346014498	0.0260395545613902	0.0207572842717978	0.0527405994912751	0.0175370152368086	0.091494563721424	0.070609967968016	0.0588845977834253	0.035270165065528	0.106010803310413	0.088658869858202	0.0495164622685589	0.0541755273950765	0.0231996651736712	0.0349666489606569	0.0484683282820698	0.0533886299551948	0.0482988758050718	0.0255475816343475	0.0810983659716957	0.0819598148932942	0.0539818412937246	0.0659467421793243	0.048944155267572
HT29_G1_3E_1	0.0322188617524325	0.0110352650831208	0.0211352645425075	0.0402463017161661	0	0.00701312012870213	0.0348215987243726	0.0224687835438118	0.0150160759606422	0.0184234460779704	0.0375356514797279	0.0431485744002785	0.0113391782677723	0.0099619719890789	0.0366969968164549	0.0466082938955592	0.0124463525170624	0.0442194979940889	0.0188268733908936	0.15780716050939	0.216362941944419	0.0222737949502632	0.0369957767140117	0.0212266570950649	0.0109137897786607	0.0331421737714067	0.0126179272133078	0.00618219584161663	0.0197431179321905	0.020157376582757	0.0268602373030113	0.0361632910193415	0.0112991031305349	0.00899017929446637	0.00572876020009614	0.029657069496386	0.0220759124562347	0.0473750846990631	0.0111393915300472	0.0172665706876287	0.0214443779814445	0.0186898121641625	0.034030938431381	0.0547803745600575	0.0305140325757335	0.0224906442192422	0.0132534307239304	0.0678640264611655	0.0506177669334255	0.0152740413254853	0.0158156321459633	0.0179397278140464	0.00786780733858113	0.0103458235020324	0.014037022508318	0.0132497863651444	0.018059984743883	0.0432050758197638	0.044958389775948	0.0184578610788903	0.0292397323409843	0.0111488078408873
HT29_G1_3E_2	0.026953991267339	0.0111293637913791	0.0156626771477151	0.0333891873151047	0.00701312012870213	0	0.0282360164133131	0.0164951229840612	0.0197165120474011	0.01381916591468	0.0444106044865237	0.0495914545372963	0.0168135783124883	0.0124105973302547	0.0436611253174928	0.0535977801810713	0.0180529081621576	0.0511514681448736	0.0257283884086286	0.164566168075335	0.223073224274582	0.0157601977102836	0.0301506966421025	0.0275766883675106	0.00787614590457351	0.0401384300014852	0.0172930860723413	0.00103200819529517	0.0252176115658545	0.0169007304626294	0.033096389689407	0.0431518613703257	0.0171000007801183	0.0135723649687807	0.00378210802631047	0.0231338094249668	0.0165292882354897	0.0406070585404457	0.0107043428433065	0.0116308539321627	0.0153521512975221	0.0237380497517125	0.0277028231335468	0.0613013830517198	0.0374786367740994	0.0287087032673877	0.0123775337514458	0.0746255094014886	0.0572964223385971	0.0204993283961014	0.0224536392030399	0.011751839798161	0.00513035583422619	0.0167198122476545	0.0209026467848293	0.0182580582335839	0.0115490967302739	0.0499588077577735	0.051464225768947	0.0241681341425688	0.0355702961682766	0.0174391072595492
HT29_G1_3F_1	0.0148969874077291	0.0301010646045523	0.0156691964034936	0.0113992196183162	0.0348215987243726	0.0282360164133131	0	0.0160892530525744	0.0426661047069293	0.0213674494016719	0.0722130278857186	0.07668311809578	0.0424031828990916	0.0361549049310615	0.0711377078287534	0.0802880988412257	0.0441497338542149	0.0770281613862908	0.0520246224514873	0.191168319245071	0.249735139400858	0.012623912284595	0.00475262624604634	0.0525712585841623	0.0259686962278513	0.0671277421565397	0.043150271223586	0.029081537063358	0.0513627591056192	0.0227570640486167	0.0585910145973096	0.0697596655986513	0.0438235729458374	0.0390055232911232	0.029803633314985	0.00693725073446493	0.0180261212242144	0.0140942868087417	0.0299968446673695	0.0182474500815572	0.0142525026396916	0.0498248350444994	0.00752337616948566	0.0874795203928217	0.0649611977963436	0.0539252603362767	0.0328376289763389	0.101656690067817	0.0845121779695548	0.0441710836158584	0.0483138003276357	0.01759313472914	0.0312666283551894	0.0424309777726873	0.0473155550930494	0.0449775480722494	0.0199457346672722	0.0760119236605626	0.0779822421828267	0.0471323178367564	0.0618325582950571	0.0440433356823289
HT29_G1_3F_2	0.0115209744088596	0.0175680188636702	0.012809163193283	0.0195949995303746	0.0224687835438118	0.0164951229840612	0.0160892530525744	0	0.028356125158916	0.00631946498874424	0.0589007648016259	0.0617722745883089	0.0278903746587611	0.0210540120988469	0.0578947892619644	0.0669441982282266	0.0294626291065673	0.0638772171377461	0.0391982246503176	0.176798169605389	0.236147108612029	0.00929287264651771	0.0180866562576567	0.0386924671757461	0.0135867232414543	0.0538540295687576	0.0280853600502253	0.0169689720170403	0.0361581478910429	0.0113116554968977	0.043808913064514	0.0565610923743224	0.0293296627896069	0.0244070713628379	0.0190869599377838	0.00925974415552251	0.0180389760948499	0.0296002972506755	0.0160237571446303	0.0110452936219751	0.00537514187912557	0.0345770438497694	0.0197666262163998	0.072495460745144	0.0521309708322059	0.0394662927105778	0.0171324108260476	0.087123914807332	0.0699083794999755	0.0299709772743723	0.0349658498422809	0.00579142606881371	0.0188917228914054	0.0294195591931291	0.0345164960995548	0.0301846549147448	0.0150037354887997	0.061755758011904	0.0630425111139056	0.0346908126539161	0.0469273077650442	0.0299527248909448
HT29_G1_4A_2	0.0348028305196853	0.0131761026289209	0.0296597443867786	0.0479248064550954	0.0150160759606422	0.0197165120474011	0.0426661047069293	0.028356125158916	0	0.0222574598229941	0.0337586435505207	0.0359450301928635	0.00587048407938792	0.00969887407469458	0.0320404128399733	0.0395599033696285	0.00774361188813676	0.0361162853823305	0.0142082942678269	0.149465683301538	0.209447289869217	0.0314397773782782	0.0455661067887418	0.0107281610393395	0.0173149052452881	0.0273275230480845	0.0103219631662293	0.0188158960993519	0.0138514878978253	0.0214160529165876	0.0163975555598573	0.029514169430238	0.00932147016779116	0.00770091760054563	0.0190755203810524	0.0367284901832764	0.0336563856641197	0.056486260408345	0.0127181600812199	0.0260821266063291	0.0285092951153638	0.0146080641813874	0.043409818858503	0.0452764728866411	0.0273272082690406	0.0116339389800176	0.0158982018508744	0.0599209453164512	0.0432789768433294	0.00192439615416732	0.00939082254069291	0.0257027766823162	0.0206298428173829	0.00804209059773047	0.0114186107773208	0.0130432447016877	0.030718042349494	0.0337775846350045	0.036181587520334	0.00966571500441033	0.0203951475311265	0.00795644948522011
HT29_G1_4A_3	0.0142016930495642	0.0119624506962479	0.0136282790919284	0.025833186353216	0.0184234460779704	0.01381916591468	0.0213674494016719	0.00631946498874424	0.0222574598229941	0	0.0537416832136041	0.0564206168849241	0.0223424510334356	0.0157370510754638	0.052554623572015	0.0612367774469521	0.024095791571879	0.0579988542833718	0.0336919967113517	0.171103900947457	0.230674828015447	0.0124625201059043	0.0239615934072728	0.0327282094626583	0.00895112400121014	0.0483182675478614	0.0230940865252886	0.013990693258926	0.0310224305424509	0.00674605286849264	0.0379764195237943	0.0508958602280752	0.024192551969218	0.0190466567672529	0.0160161644926472	0.0148569423995791	0.0196565500861471	0.0352606537964574	0.0101104540096685	0.0107003034767899	0.00797672776616877	0.0297230063672554	0.0241204275580341	0.0667588121726344	0.0469414862189847	0.0335549935827539	0.0129750716058115	0.0814985155366091	0.0644212204866798	0.0239293908123512	0.029299323524895	0.00643241939349313	0.0166391283426667	0.0239418097199795	0.0291449407483006	0.0255390466377874	0.0166910226312259	0.0558594627713734	0.0574194186569261	0.0287333135518463	0.0413143677029158	0.0245954315531993
HT29_G1_4B_1	0.0674689824043172	0.0438451357940439	0.0577690089741444	0.0772944337743582	0.0375356514797279	0.0444106044865237	0.0722130278857186	0.0589007648016259	0.0337586435505207	0.0537416832136041	0	0.01476935019928	0.0317287972038765	0.0385947049998446	0.0034961592317589	0.0131443932726346	0.0301801016980648	0.0155938337785899	0.021650026381205	0.121465268780132	0.179818381225237	0.0597059128700044	0.074475055407119	0.0240967179014636	0.0468359543076947	0.00845053258364098	0.0321780517760088	0.0435416145296529	0.0259644020412683	0.0539540471504041	0.0209519566729798	0.00978190086293973	0.0299559150373847	0.0348844135056741	0.0427338585013301	0.066883155559391	0.0581359853039716	0.0847270564347067	0.0441359090669438	0.0542745575864836	0.0585058654947915	0.0278335214911544	0.0710265616264227	0.0245122904856229	0.00807180277358886	0.0234961009313938	0.0438541177983893	0.0323832494464072	0.0169672170974957	0.0318815539759263	0.0255417398675448	0.0550884174769443	0.0428518252158543	0.0306923118303232	0.0256719733948916	0.0302545033655526	0.0548128235372842	0.0158220918579228	0.0170955986194158	0.0301874790530948	0.0178561242532206	0.0291980285878295
HT29_G1_4B_2	0.0696704562199783	0.0481115735117597	0.0634851812845251	0.0803219620173573	0.0431485744002785	0.0495914545372963	0.07668311809578	0.0617722745883089	0.0359450301928635	0.0564206168849241	0.01476935019928	0	0.034534925977329	0.0408019515124241	0.0155599437760315	0.0173876182096067	0.032619901792979	0.0198108363952195	0.0285595658622581	0.116305447885145	0.176554371939146	0.0646863518789366	0.0787772193603727	0.0271099587541978	0.0512973032789743	0.0172574775612868	0.0338084077331624	0.0486007061589954	0.0257378135073909	0.057068652110347	0.0199539190129719	0.0175905481961349	0.0329421514032454	0.0377786922375146	0.0488263004639193	0.0705889926063116	0.0650882559790686	0.0898004707089377	0.047454656942603	0.0596149542213007	0.0625696593958272	0.0276967991866985	0.0768919672007886	0.0138625821019263	0.0199429242731461	0.0247150184257804	0.0452281009114686	0.0262426596884066	0.00903207692625516	0.0343516004692834	0.0306112553380373	0.0591282920011404	0.0474675058531545	0.0360138382886613	0.0320911543919201	0.0322677138335417	0.060777366426055	0.0125292341503496	0.00546307291426966	0.035257617394039	0.0155861598378928	0.0329873997429839
HT29_G1_4B_3	0.0359805083872196	0.013950837617665	0.0293784631503872	0.0470850073610226	0.0113391782677723	0.0168135783124883	0.0424031828990916	0.0278903746587611	0.00587048407938792	0.0223424510334356	0.0317287972038765	0.034534925977329	0	0.00725204295855138	0.0305338857480218	0.0393340520935336	0.00249609603224834	0.0366398704815454	0.0132045083814805	0.149474169342716	0.20909259083855	0.030573260763163	0.0448504384043902	0.0119012603365566	0.0168687347988097	0.0264047842186618	0.00524980848121073	0.0158112277163945	0.0104958514054419	0.0230388469663995	0.0165171182097739	0.0291503460771318	0.00358489968855638	0.00366504157411738	0.0164239928428639	0.0364221711989401	0.0322381066900375	0.0558516876595544	0.0130159661903933	0.0254542936150586	0.0281902151864444	0.0105040522037286	0.0428732786408417	0.0452575378670643	0.0253966713004953	0.0121986836636672	0.0135222500371372	0.0594476551781651	0.0422818125590477	0.00562388459595157	0.00868667909034424	0.0248945239512159	0.0165453304720727	0.00647041576506944	0.00958421882870019	0.00754085891431819	0.0283211726039149	0.0341417561966129	0.0356524374202621	0.0125258773870258	0.0194928427262243	0.00311407437440004
HT29_G1_4C_1	0.02957213849528	0.0105501724797851	0.0244728798034822	0.0401392057700519	0.0099619719890789	0.0124105973302547	0.0361549049310615	0.0210540120988469	0.00969887407469458	0.0157370510754638	0.0385947049998446	0.0408019515124241	0.00725204295855138	0	0.0375909469356426	0.0465366507417373	0.00852377456817088	0.0438502667235859	0.0201220860671577	0.156095162233316	0.21576694513158	0.0247698965027871	0.0383799091359178	0.0188352636658463	0.0119876549521106	0.0336029440755777	0.00748871237888186	0.0114752008337198	0.0153951256209202	0.0177437284711768	0.0230552914603052	0.0363911011866515	0.00872646303099725	0.00392422393839084	0.0134529817736347	0.029882224249036	0.0278982965367018	0.049631585413494	0.00801416351327016	0.0203617813632813	0.0220207564650178	0.0142782272416261	0.0373430309293538	0.0516562957700158	0.0323512334805192	0.0189812846034973	0.0065828496126442	0.0661420374917681	0.048891446701356	0.0108213610217086	0.0156066411291155	0.0186706687974688	0.0122895316680897	0.0114942358570328	0.0159390375963754	0.0102774570740706	0.0233366020709329	0.0410646342044191	0.042078620009887	0.0178931006852722	0.0259304780414144	0.00970823409252465
HT29_G1_4C_2	0.0660767714213746	0.0423060759027731	0.0565037526629667	0.0765598540912061	0.0366969968164549	0.0436611253174928	0.0711377078287534	0.0578947892619644	0.0320404128399733	0.052554623572015	0.0034961592317589	0.0155599437760315	0.0305338857480218	0.0375909469356426	0	0.0114591882016109	0.0291802169609244	0.0127951795167612	0.0197516557013334	0.122078133751574	0.180648415828063	0.0586884173370477	0.0735882064166562	0.0219692787494386	0.0455591269657733	0.00538719243677251	0.0314991160949124	0.0427892475626955	0.0254599439348171	0.0523658700830347	0.0192983874779456	0.00633137052903971	0.0291112792586614	0.0338254494012948	0.0418371978105994	0.0658388121091908	0.0571798696193826	0.0838247126240054	0.0427622896468693	0.0530950684397741	0.057369763668954	0.0275518194791187	0.0699502753123332	0.0242949292171496	0.00665610439580189	0.0216574316798161	0.0431507821052158	0.0329090256427268	0.0176492546092243	0.03013694258382	0.0237753787238631	0.0540530377877111	0.042468939739131	0.0291621563786308	0.0240969959795025	0.0298802120212093	0.0541847862819886	0.0138963033871437	0.0168607650350875	0.0278251144052255	0.0167743607325861	0.0280737203674317
HT29_G1_4F_1	0.0741504645986745	0.0506742132187476	0.0655086383744539	0.0860645515024791	0.0466082938955592	0.0535977801810713	0.0802880988412257	0.0669441982282266	0.0395599033696285	0.0612367774469521	0.0131443932726346	0.0173876182096067	0.0393340520935336	0.0465366507417373	0.0114591882016109	0	0.0382034318817153	0.00594785134962882	0.0283484992866192	0.112638339299383	0.171782784351424	0.0680737827838245	0.0830512683451096	0.0288664766367431	0.0544758765103468	0.0135045974436898	0.0407664071924108	0.0527106606781055	0.0342389599770855	0.0602839992139902	0.0254435472337497	0.0105684158862562	0.0385240935210715	0.0428733363150923	0.0516644927197405	0.074952718783234	0.066811267546229	0.0933105429983032	0.0512761598686018	0.0622600653810479	0.0664109178779707	0.0366774380622289	0.0792396170111311	0.018397661230113	0.0174051142900223	0.0285466523498519	0.0523435900037564	0.0246434053319617	0.0139699647686819	0.0377057362790694	0.0321417014084233	0.0632946633105817	0.0528155072990715	0.0379435099984063	0.0330976064953558	0.0396316741936525	0.0643130271546202	0.0102900039357694	0.015709653250198	0.0344930493387202	0.0232810723290747	0.0372681118908421
HT29_G1_4F_3	0.03784566078611	0.0162638873026278	0.0313319426983856	0.0484481526307856	0.0124463525170624	0.0180529081621576	0.0441497338542149	0.0294626291065673	0.00774361188813676	0.024095791571879	0.0301801016980648	0.032619901792979	0.00249609603224834	0.00852377456817088	0.0291802169609244	0.0382034318817153	0	0.0358145576156666	0.0130612792528571	0.147937048104779	0.207560250361293	0.0322805264769436	0.0464243562803109	0.0117973225172346	0.0188722213966148	0.0252913699900077	0.00373934129644621	0.0170287593627694	0.00816906379475794	0.0252086405341965	0.0153060548568167	0.0281710644171856	0.0019331756938161	0.00516247864901916	0.0178326820451452	0.0381013493415944	0.0338816001912744	0.0574822298760973	0.0151299211970121	0.0273300956913266	0.0299832928977739	0.00808840928703814	0.0446606262321562	0.0436916633174393	0.0241976288416299	0.011486858112357	0.014205799392494	0.057829589293958	0.0405423244871791	0.00719438935592823	0.00897698202583384	0.0265796672018721	0.0171056849204736	0.00798886332617477	0.00990491082144444	0.00547212945861253	0.0295926912720244	0.032945797974607	0.0339799184253636	0.0139404509682956	0.0178394230887968	0.00303965131625693
HT29_G1_5A_1	0.0704657328476416	0.0471903585950477	0.0621946937233587	0.083190914055283	0.0442194979940889	0.0511514681448736	0.0770281613862908	0.0638772171377461	0.0361162853823305	0.0579988542833718	0.0155938337785899	0.0198108363952195	0.0366398704815454	0.0438502667235859	0.0127951795167612	0.00594785134962882	0.0358145576156666	0	0.025495498855858	0.116204182654808	0.175585774209026	0.0650333657894882	0.0800218495138625	0.0254318825104937	0.0512746906376425	0.0123546490892061	0.0386971075973201	0.0502740934729853	0.0326875754880042	0.0565206331373465	0.0229417008445752	0.00873598060884681	0.036334165972073	0.0402331933046856	0.0490968020098965	0.0717609885278356	0.0639657578161714	0.090218575037484	0.0479810448189064	0.0590903630820323	0.0631993436683634	0.0352975817012542	0.0760455376789874	0.0206888036886869	0.0171593151894459	0.0255305886294386	0.0499187901703421	0.0289584372037472	0.0181197110865441	0.0343073507163558	0.0290938734167372	0.0602618542268283	0.0508594653493058	0.0349197660267892	0.0303151892692961	0.0380029799371253	0.0618925750518818	0.00934307086338052	0.0172655620606168	0.0304159145498825	0.0218368859712236	0.0347773579456176
HT29_G1_5A_2	0.0468890305706979	0.0227732494765669	0.0372548884311778	0.0581731718904999	0.0188268733908936	0.0257283884086286	0.0520246224514873	0.0391982246503176	0.0142082942678269	0.0336919967113517	0.021650026381205	0.0285595658622581	0.0132045083814805	0.0201220860671577	0.0197516557013334	0.0283484992866192	0.0130612792528571	0.025495498855858	0	0.140439815557696	0.199353523237364	0.0397740567966708	0.0548173794373859	0.00745699371077137	0.0263004117928247	0.0152523292638385	0.016500953643146	0.0248792047213532	0.0152585834162384	0.0329296630146835	0.0133852659889526	0.0177835382991198	0.0131413007870488	0.0162571617454148	0.0236251667137597	0.0468329675626698	0.03887403649991	0.0650463524662774	0.0236754005554202	0.0339406088641944	0.0382440311644998	0.016990625653707	0.0510197065184817	0.0384853028478217	0.0141371031632486	0.00994263022246228	0.0264414389757996	0.0508992723180783	0.0344912567951705	0.012376925566134	0.00487309594075619	0.0351629183366892	0.0259066239964603	0.00980187289908914	0.00484071663133647	0.0162878430889347	0.0364581516515558	0.0255877622775046	0.0292888962634165	0.00948588725419593	0.0156927444648723	0.0107892266543883
HT29_G1_5B_1	0.183293347446644	0.161769812603586	0.177158109771901	0.195544656727202	0.15780716050939	0.164566168075335	0.191168319245071	0.176798169605389	0.149465683301538	0.171103900947457	0.121465268780132	0.116305447885145	0.149474169342716	0.156095162233316	0.122078133751574	0.112638339299383	0.147937048104779	0.116204182654808	0.140439815557696	0	0.0649109773797753	0.179280053720591	0.193674000978097	0.139459806426154	0.165617337558197	0.125559309004366	0.149581044395531	0.163626460493062	0.141651875091483	0.170433196021908	0.133568076869649	0.12301219553872	0.148394077251014	0.152953536510663	0.16314879632623	0.185372073231024	0.178570500892663	0.204281960449688	0.161780774893281	0.173752576049403	0.177193815078689	0.143720271191311	0.190772830133192	0.105169952391591	0.12862863789018	0.13807361243306	0.160844134196219	0.0905732576170076	0.107981959108335	0.147845819049815	0.143671826241435	0.174021493452941	0.162866526808124	0.149543773392589	0.145004410185555	0.148211603512758	0.175399480533672	0.116115564641917	0.114489055439755	0.145809687975703	0.130440371942983	0.147866877398058
