	RPTEC_R1_1	RPTEC_R1_2	RPTEC_R1_3	RPTEC_R2_1	RPTEC_R2_2	RPTEC_R2_3	RPTEC_R3_1	RPTEC_R3_2	RPTEC_R3_3	RPTEC_R4_1	RPTEC_R4_2	RPTEC_R4_3	RPTEC_R5_1	RPTEC_R5_2	RPTEC_R5_3	RPTEC_Root1_1	RPTEC_Root1_2	RPTEC_Root1_3
RPTEC_R1_1	0	0.00440834470619255	0.00753790752980142	0.00836780025377736	0.0137067778875892	0.0120426631853275	0.0157869014907513	0.00667387865488834	0.011469859018836	0.0554657157215195	0.00183688454050973	0.0126543540042938	0.0260677685213707	0.0152166444859938	0.023647834089293	0.0236651908492789	0.00692875068055179	0.00503708661979767
RPTEC_R1_2	0.00440834470619255	0	0.010318102621044	0.0097141747948599	0.0133844138041752	0.0127155370531905	0.0147902948528137	0.00526146696932965	0.0136276511701555	0.0569242296205786	0.00531946714731621	0.0130241612210377	0.0266657536661632	0.0176008835750709	0.0256684087172509	0.0243571408900697	0.00752563425643909	0.00577196609630051
RPTEC_R1_3	0.00753790752980142	0.010318102621044	0	0.0149368033039037	0.0132485068273289	0.00960952174313187	0.0221426856191436	0.00981114301608562	0.0109436822989055	0.0588550115414302	0.00624882782195721	0.00767559445012597	0.028923584773338	0.0162572820755872	0.0253248216472883	0.0288649558558964	0.0120335585341793	0.00640235343627091
RPTEC_R2_1	0.00836780025377736	0.0097141747948599	0.0149368033039037	0	0.021183258693381	0.0201177775527166	0.00942799319286769	0.013817513467499	0.0128787853601553	0.0482173448253866	0.0100176965905623	0.0208443514192631	0.0209851165909501	0.0129612672470465	0.0191085494674349	0.0158819265794317	0.00601731050312442	0.0113604765986048
RPTEC_R2_2	0.0137067778875892	0.0133844138041752	0.0132485068273289	0.021183258693381	0	0.00428032350196143	0.0278718910351526	0.00813626057229323	0.02322242856583	0.0690043217898364	0.01228681607117	0.0107239090624272	0.0394172134321373	0.0282039906203659	0.0370318875881291	0.0369402537936627	0.0201698675154359	0.0150296925991249
RPTEC_R2_3	0.0120426631853275	0.0127155370531905	0.00960952174313187	0.0201177775527166	0.00428032350196143	0	0.0272862056370963	0.00806865201007574	0.0201769228791094	0.0670622365861398	0.0103558083640018	0.00740716023925286	0.0372987210491928	0.0253761115561348	0.0343637374598949	0.0356857878250736	0.0185146868736966	0.0127205898349013
RPTEC_R3_1	0.0157869014907513	0.0147902948528137	0.0221426856191436	0.00942799319286769	0.0278718910351526	0.0272862056370963	0	0.0198333537959531	0.0169279046451801	0.0443803461021945	0.0176228747923358	0.026734018210956	0.0165396044985979	0.0158156496740542	0.0188134602253995	0.0114592149120391	0.0102254284592969	0.016687181762788
RPTEC_R3_2	0.00667387865488834	0.00526146696932965	0.00981114301608562	0.013817513467499	0.00813626057229323	0.00806865201007574	0.0198333537959531	0	0.0169906154189379	0.0616554627675739	0.00598504180261215	0.0105168167624421	0.0316968209525767	0.0215581143606016	0.030063959058827	0.0292185521461593	0.0123857470372697	0.00834019118899915
RPTEC_R3_3	0.011469859018836	0.0136276511701555	0.0109436822989055	0.0128787853601553	0.02322242856583	0.0201769228791094	0.0169279046451801	0.0169906154189379	0	0.0493188427847747	0.0121120963643278	0.0166284706925569	0.0184669201547384	0.00635139178913709	0.0151638182099135	0.0210852754065915	0.00846932473676004	0.00892611772410447
RPTEC_R4_1	0.0554657157215195	0.0569242296205786	0.0588550115414302	0.0482173448253866	0.0690043217898364	0.0670622365861398	0.0443803461021945	0.0616554627675739	0.0493188427847747	0	0.0569229163559465	0.0655493454205116	0.0335949321965033	0.0431447433022071	0.0344209755392393	0.0332285699691636	0.0498099345851459	0.0559801381697393
RPTEC_R4_2	0.00183688454050973	0.00531946714731621	0.00624882782195721	0.0100176965905623	0.01228681607117	0.0103558083640018	0.0176228747923358	0.00598504180261215	0.0121120963643278	0.0569229163559465	0	0.0113069424306959	0.0275740888011721	0.016213446945224	0.0248407499618649	0.0253577579658366	0.00860247580914527	0.00532752780591327
RPTEC_R4_3	0.0126543540042938	0.0130241612210377	0.00767559445012597	0.0208443514192631	0.0107239090624272	0.00740716023925286	0.026734018210956	0.0105168167624421	0.0166284706925569	0.0655493454205116	0.0113069424306959	0	0.0342029427825551	0.0227057031821569	0.0317302707568086	0.0349941852473466	0.0172039641021182	0.0103085789604956
RPTEC_R5_1	0.0260677685213707	0.0266657536661632	0.028923584773338	0.0209851165909501	0.0394172134321373	0.0372987210491928	0.0165396044985979	0.0316968209525767	0.0184669201547384	0.0335949321965033	0.0275740888011721	0.0342029427825551	0	0.0139686487917158	0.00880539416919612	0.0120336531799612	0.0193936131715587	0.0248052519169089
RPTEC_R5_2	0.0152166444859938	0.0176008835750709	0.0162572820755872	0.0129612672470465	0.0282039906203659	0.0253761115561348	0.0158156496740542	0.0215581143606016	0.00635139178913709	0.0431447433022071	0.016213446945224	0.0227057031821569	0.0139686487917158	0	0.00909037519928526	0.0164022890362283	0.0106988938981436	0.0141992104281455
RPTEC_R5_3	0.023647834089293	0.0256684087172509	0.0253248216472883	0.0191085494674349	0.0370318875881291	0.0343637374598949	0.0188134602253995	0.030063959058827	0.0151638182099135	0.0344209755392393	0.0248407499618649	0.0317302707568086	0.00880539416919612	0.00909037519928526	0	0.0135614752322138	0.0182273947859341	0.0229601237449545
RPTEC_Root1_1	0.0236651908492789	0.0243571408900697	0.0288649558558964	0.0158819265794317	0.0369402537936627	0.0356857878250736	0.0114592149120391	0.0292185521461593	0.0210852754065915	0.0332285699691636	0.0253577579658366	0.0349941852473466	0.0120336531799612	0.0164022890362283	0.0135614752322138	0	0.0179331524080562	0.0247614166567605
RPTEC_Root1_2	0.00692875068055179	0.00752563425643909	0.0120335585341793	0.00601731050312442	0.0201698675154359	0.0185146868736966	0.0102254284592969	0.0123857470372697	0.00846932473676004	0.0498099345851459	0.00860247580914527	0.0172039641021182	0.0193936131715587	0.0106988938981436	0.0182273947859341	0.0179331524080562	0	0.0069142992943791
RPTEC_Root1_3	0.00503708661979767	0.00577196609630051	0.00640235343627091	0.0113604765986048	0.0150296925991249	0.0127205898349013	0.016687181762788	0.00834019118899915	0.00892611772410447	0.0559801381697393	0.00532752780591327	0.0103085789604956	0.0248052519169089	0.0141992104281455	0.0229601237449545	0.0247614166567605	0.0069142992943791	0
