	OM4_B_B	OM4_C_1A	OM4_C_1C	OM4_C_1D	OM4_C_1E	OM4_C_1F	OM4_C_1G	OM4_C_1H	OM4_C_2A	OM4_C_2B	OM4_C_2C	OM4_C_2D	OM4_C_2E	OM4_C_2F	OM4_C_2G	OM4_C_3A	OM4_C_3B	OM4_C_3C	OM4_C_3D	OM4_C_3E	OM4_C_3F	OM4_C_3G	OM4_C_3H	OM4_H_4A	OM4_H_4B	OM4_H_4E	OM4_H_4F
OM4_B_B	0	0.0198646997421527	0.0171980684547779	0.0396997225207952	0.0344618395051742	0.0301844798046957	0.0283094049102925	0.0243236838748009	0.0139154034908391	0.0197990749187503	0.0244449574043719	0.0246282604728488	0.0297566786011316	0.0263232378018626	0.0184619485658316	0.0228522869994032	0.0187674607842905	0.0301877994282041	0.0188857027464894	0.0229625659521414	0.0296231482969648	0.0283956182498133	0.0197280722665527	0.0237372365516569	0.0163614798165167	0.0183182543460603	0.0372700197849623
OM4_C_1A	0.0198646997421527	0	0.0225295276555531	0.042125010179487	0.0287932218061127	0.030384971603937	0.0235460445863651	0.0164793596965447	0.0158711116567452	0.0206891239080078	0.0274977370011505	0.0318746481690365	0.0291736974908131	0.0323744690526457	0.0171519985123192	0.0198997933879985	0.0264565410335999	0.0393890135343396	0.0225301306079375	0.0242376839783595	0.0300289765337965	0.0245955406146684	0.0206111052912299	0.0267648390014336	0.0206598542477116	0.0218168935867408	0.0362277817402814
OM4_C_1C	0.0171980684547779	0.0225295276555531	0	0.0326574012472267	0.0260907612641392	0.0220367729850829	0.0304224878583056	0.02107966439405	0.0143505934495574	0.0128826133107383	0.0157225214602026	0.0174417731895227	0.0164592953503829	0.0213166554922295	0.0142162615729571	0.0138239353533207	0.0171313299759171	0.0244121835513585	0.0194102288751026	0.0127405572146483	0.0152315478184101	0.0269579779907047	0.0157331165031199	0.0158913948084075	0.0125307740319149	0.0114143887631787	0.0320002092771014
OM4_C_1D	0.0396997225207952	0.042125010179487	0.0326574012472267	0	0.0289726223028375	0.0220549829410067	0.0363573887629512	0.0374619818844985	0.0395323714625731	0.0323772290894419	0.0305565770947749	0.0248534438767072	0.0280056819484117	0.0304887553703574	0.0335316342705751	0.0324857763626628	0.0309154232101063	0.0189259374966221	0.0394622940268333	0.0262398105411367	0.0295978773148333	0.0340040754368536	0.0324658220096388	0.026430478119811	0.037447468723192	0.0307843542645996	0.020280835902476
OM4_C_1E	0.0344618395051742	0.0287932218061127	0.0260907612641392	0.0289726223028375	0	0.022379115265671	0.022443929448909	0.0209618397221891	0.025832304190895	0.0288790631236171	0.0243979829300849	0.0252354185684541	0.0239698559001957	0.0304539345528279	0.0220816596674665	0.0285666833036766	0.0274307809432081	0.0288854778251008	0.0257883970554891	0.0191293034555415	0.0262414696600992	0.0240255811177727	0.0260307580467345	0.0261898115537701	0.0302247206289926	0.02833362153283	0.0247747815144326
OM4_C_1F	0.0301844798046957	0.030384971603937	0.0220367729850829	0.0220549829410067	0.022379115265671	0	0.0263611053862357	0.0306228804448207	0.0274969261958909	0.0205208923389233	0.0218815138559976	0.0234097189786713	0.0257402307583768	0.0216659181553181	0.0241887825016306	0.0194846417952086	0.0238153757787913	0.0224308184488245	0.0252703797473301	0.0181443601690053	0.0202038617853529	0.0235161537253919	0.0194774715971359	0.0175729297898915	0.0249805335427708	0.0205900954230716	0.0259499634992713
OM4_C_1G	0.0283094049102925	0.0235460445863651	0.0304224878583056	0.0363573887629512	0.022443929448909	0.0263611053862357	0	0.0198918611158626	0.0236004457976407	0.0284458267456091	0.0311158037192487	0.034927504281974	0.0340418951250519	0.0284069164353284	0.021616771403632	0.0306188394915533	0.0300216611007493	0.0312984882350517	0.0242994572362641	0.0278240089676437	0.0338888181551771	0.026799522695624	0.0275317891541571	0.0329586469123941	0.0316282472845839	0.0325546455704382	0.0299109254314507
OM4_C_1H	0.0243236838748009	0.0164793596965447	0.02107966439405	0.0374619818844985	0.0209618397221891	0.0306228804448207	0.0198918611158626	0	0.0183529431811322	0.0218317130618847	0.0294148222346002	0.0262569756058667	0.023412085298192	0.0322561976238314	0.0144372734170246	0.0197812726594679	0.0247278730512155	0.0396811235604809	0.0248651896052907	0.0231187531467051	0.0297770336908844	0.0277175399022784	0.0208353881820936	0.0242775488345538	0.0243755915542156	0.0227625341865793	0.0365049705798215
OM4_C_2A	0.0139154034908391	0.0158711116567452	0.0143505934495574	0.0395323714625731	0.025832304190895	0.0274969261958909	0.0236004457976407	0.0183529431811322	0	0.0192600775468492	0.0209271098760295	0.0236820196360278	0.0267432753498922	0.0270383784874415	0.0178280434758166	0.018574320338991	0.0195015005680945	0.0276312418169326	0.0171288345663278	0.0189559542302105	0.0249654466864406	0.0255364706231053	0.0178258709897251	0.024507456532908	0.0145764113998696	0.0181905134118837	0.0280370326344313
OM4_C_2B	0.0197990749187503	0.0206891239080078	0.0128826133107383	0.0323772290894419	0.0288790631236171	0.0205208923389233	0.0284458267456091	0.0218317130618847	0.0192600775468492	0	0.0213469475054186	0.0190399764478069	0.0187984640149791	0.0235001289053094	0.0137698817236009	0.0112981086326256	0.0183857797180787	0.031537898897062	0.0188904757231489	0.0162169869030234	0.0202615973105132	0.0242856279954346	0.0184473721806532	0.0127353855761212	0.0152781277375796	0.0118624418821455	0.0375203127957147
OM4_C_2C	0.0244449574043719	0.0274977370011505	0.0157225214602026	0.0305565770947749	0.0243979829300849	0.0218815138559976	0.0311158037192487	0.0294148222346002	0.0209271098760295	0.0213469475054186	0	0.0147940196742279	0.019565147249253	0.0171410733307634	0.0193070359032294	0.0226414262006652	0.0226172720017433	0.0226112612458563	0.0175685760095395	0.0113915612347081	0.0124283735808285	0.0236289894454128	0.0151669997387944	0.0180712584291598	0.0162237691505005	0.0189427403419167	0.0242902842700744
OM4_C_2D	0.0246282604728488	0.0318746481690365	0.0174417731895227	0.0248534438767072	0.0252354185684541	0.0234097189786713	0.034927504281974	0.0262569756058667	0.0236820196360278	0.0190399764478069	0.0147940196742279	0	0.0100780888051842	0.0200356560840398	0.0190496958071917	0.0223526215892385	0.0151010246389897	0.0257757926010797	0.0207324129245356	0.0153294517742935	0.0178871063276205	0.0290015455123108	0.0178899913500231	0.0150187591030874	0.0200233099826537	0.0174708921791046	0.0308097117777728
OM4_C_2E	0.0297566786011316	0.0291736974908131	0.0164592953503829	0.0280056819484117	0.0239698559001957	0.0257402307583768	0.0340418951250519	0.023412085298192	0.0267432753498922	0.0187984640149791	0.019565147249253	0.0100780888051842	0	0.0242968979329961	0.0166921348903605	0.0190485689669417	0.0196793602179726	0.0315240505719684	0.0271489845144512	0.0179790540250539	0.0167251672249155	0.0315396090137516	0.0221491607221381	0.0164239474608747	0.0219662606421577	0.0189300013739832	0.0352384482538792
OM4_C_2F	0.0263232378018626	0.0323744690526457	0.0213166554922295	0.0304887553703574	0.0304539345528279	0.0216659181553181	0.0284069164353284	0.0322561976238314	0.0270383784874415	0.0235001289053094	0.0171410733307634	0.0200356560840398	0.0242968979329961	0	0.0258086350973858	0.0231094689192323	0.0284191661871958	0.029109637941776	0.0210099306160558	0.0169261606279101	0.0184909539634187	0.0218643092945309	0.0178345428702196	0.0206358297569484	0.0246266539532472	0.0226110974717053	0.0320530252670546
OM4_C_2G	0.0184619485658316	0.0171519985123192	0.0142162615729571	0.0335316342705751	0.0220816596674665	0.0241887825016306	0.021616771403632	0.0144372734170246	0.0178280434758166	0.0137698817236009	0.0193070359032294	0.0190496958071917	0.0166921348903605	0.0258086350973858	0	0.0168565112464655	0.017709069531346	0.0306009169482067	0.0166642226661537	0.0147755732438273	0.0200031666372042	0.023048488891507	0.0168592125030359	0.017051983658755	0.0181672547142122	0.0136981452478248	0.0336930842472428
OM4_C_3A	0.0228522869994032	0.0198997933879985	0.0138239353533207	0.0324857763626628	0.0285666833036766	0.0194846417952086	0.0306188394915533	0.0197812726594679	0.018574320338991	0.0112981086326256	0.0226414262006652	0.0223526215892385	0.0190485689669417	0.0231094689192323	0.0168565112464655	0	0.0220167110890744	0.0329165226394548	0.0234926025660067	0.0179706489028293	0.0185496214988885	0.027858638490655	0.0187005085882714	0.0158331104278971	0.0152240438490055	0.0138104346260981	0.0365486835914583
OM4_C_3B	0.0187674607842905	0.0264565410335999	0.0171313299759171	0.0309154232101063	0.0274307809432081	0.0238153757787913	0.0300216611007493	0.0247278730512155	0.0195015005680945	0.0183857797180787	0.0226172720017433	0.0151010246389897	0.0196793602179726	0.0284191661871958	0.017709069531346	0.0220167110890744	0	0.0266764614758583	0.0190823591008275	0.0188173260524316	0.025565094598937	0.0292008590555618	0.0198786501202965	0.020713189462628	0.0186106870457601	0.0155941187207257	0.0318620156655685
OM4_C_3C	0.0301877994282041	0.0393890135343396	0.0244121835513585	0.0189259374966221	0.0288854778251008	0.0224308184488245	0.0312984882350517	0.0396811235604809	0.0276312418169326	0.031537898897062	0.0226112612458563	0.0257757926010797	0.0315240505719684	0.029109637941776	0.0306009169482067	0.0329165226394548	0.0266764614758583	0	0.030438409628511	0.0226634532513782	0.0264248005142669	0.0340894335253246	0.0291691567237557	0.0298982028636979	0.0249310119541061	0.0290550437009367	0.0155046425396967
OM4_C_3D	0.0188857027464894	0.0225301306079375	0.0194102288751026	0.0394622940268333	0.0257883970554891	0.0252703797473301	0.0242994572362641	0.0248651896052907	0.0171288345663278	0.0188904757231489	0.0175685760095395	0.0207324129245356	0.0271489845144512	0.0210099306160558	0.0166642226661537	0.0234926025660067	0.0190823591008275	0.030438409628511	0	0.0170315368510306	0.0228011973835056	0.0217126828561588	0.0159789468327782	0.0221671418506721	0.0192716667646123	0.0186769106053639	0.0271094234373539
OM4_C_3E	0.0229625659521414	0.0242376839783595	0.0127405572146483	0.0262398105411367	0.0191293034555415	0.0181443601690053	0.0278240089676437	0.0231187531467051	0.0189559542302105	0.0162169869030234	0.0113915612347081	0.0153294517742935	0.0179790540250539	0.0169261606279101	0.0147755732438273	0.0179706489028293	0.0188173260524316	0.0226634532513782	0.0170315368510306	0	0.0140352021953584	0.0186563185057019	0.0143032189037856	0.0165124671041158	0.0171842038533548	0.0148610734276002	0.0250301758291048
OM4_C_3F	0.0296231482969648	0.0300289765337965	0.0152315478184101	0.0295978773148333	0.0262414696600992	0.0202038617853529	0.0338888181551771	0.0297770336908844	0.0249654466864406	0.0202615973105132	0.0124283735808285	0.0178871063276205	0.0167251672249155	0.0184909539634187	0.0200031666372042	0.0185496214988885	0.025565094598937	0.0264248005142669	0.0228011973835056	0.0140352021953584	0	0.0275002047819497	0.0196367367011345	0.0152579392169708	0.0190376835727487	0.0168535397639824	0.0305433079036023
OM4_C_3G	0.0283956182498133	0.0245955406146684	0.0269579779907047	0.0340040754368536	0.0240255811177727	0.0235161537253919	0.026799522695624	0.0277175399022784	0.0255364706231053	0.0242856279954346	0.0236289894454128	0.0290015455123108	0.0315396090137516	0.0218643092945309	0.023048488891507	0.027858638490655	0.0292008590555618	0.0340894335253246	0.0217126828561588	0.0186563185057019	0.0275002047819497	0	0.0192193453682934	0.027590180544788	0.0305423870855848	0.0270669902029435	0.0317746657075813
OM4_C_3H	0.0197280722665527	0.0206111052912299	0.0157331165031199	0.0324658220096388	0.0260307580467345	0.0194774715971359	0.0275317891541571	0.0208353881820936	0.0178258709897251	0.0184473721806532	0.0151669997387944	0.0178899913500231	0.0221491607221381	0.0178345428702196	0.0168592125030359	0.0187005085882714	0.0198786501202965	0.0291691567237557	0.0159789468327782	0.0143032189037856	0.0196367367011345	0.0192193453682934	0	0.0174128518312525	0.0177101242918505	0.0164331822692278	0.0293026892371504
OM4_H_4A	0.0237372365516569	0.0267648390014336	0.0158913948084075	0.026430478119811	0.0261898115537701	0.0175729297898915	0.0329586469123941	0.0242775488345538	0.024507456532908	0.0127353855761212	0.0180712584291598	0.0150187591030874	0.0164239474608747	0.0206358297569484	0.017051983658755	0.0158331104278971	0.020713189462628	0.0298982028636979	0.0221671418506721	0.0165124671041158	0.0152579392169708	0.027590180544788	0.0174128518312525	0	0.0190334898908867	0.0105482581099836	0.0351093516171088
OM4_H_4B	0.0163614798165167	0.0206598542477116	0.0125307740319149	0.037447468723192	0.0302247206289926	0.0249805335427708	0.0316282472845839	0.0243755915542156	0.0145764113998696	0.0152781277375796	0.0162237691505005	0.0200233099826537	0.0219662606421577	0.0246266539532472	0.0181672547142122	0.0152240438490055	0.0186106870457601	0.0249310119541061	0.0192716667646123	0.0171842038533548	0.0190376835727487	0.0305423870855848	0.0177101242918505	0.0190334898908867	0	0.0150059728474895	0.0305352177684151
OM4_H_4E	0.0183182543460603	0.0218168935867408	0.0114143887631787	0.0307843542645996	0.02833362153283	0.0205900954230716	0.0325546455704382	0.0227625341865793	0.0181905134118837	0.0118624418821455	0.0189427403419167	0.0174708921791046	0.0189300013739832	0.0226110974717053	0.0136981452478248	0.0138104346260981	0.0155941187207257	0.0290550437009367	0.0186769106053639	0.0148610734276002	0.0168535397639824	0.0270669902029435	0.0164331822692278	0.0105482581099836	0.0150059728474895	0	0.0348040640085447
OM4_H_4F	0.0372700197849623	0.0362277817402814	0.0320002092771014	0.020280835902476	0.0247747815144326	0.0259499634992713	0.0299109254314507	0.0365049705798215	0.0280370326344313	0.0375203127957147	0.0242902842700744	0.0308097117777728	0.0352384482538792	0.0320530252670546	0.0336930842472428	0.0365486835914583	0.0318620156655685	0.0155046425396967	0.0271094234373539	0.0250301758291048	0.0305433079036023	0.0317746657075813	0.0293026892371504	0.0351093516171088	0.0305352177684151	0.0348040640085447	0
